eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
0,real,-4.350586,0.092165,0.246094,0.753817,1.7e-05
1,real,-4.3125,0.162215,0.449219,0.549338,7e-05
2,real,-4.37793,0.113597,0.316406,0.332501,5.3e-05
3,real,-4.262207,0.185044,0.501953,0.496203,0.000259
4,real,-4.344726,0.094333,0.25,0.736078,1.6e-05
5,real,-4.367188,0.084595,0.234375,0.546451,3.8e-05
6,real,-4.347656,0.076596,0.207031,0.587423,4.7e-05
7,real,-4.368164,0.080405,0.214844,0.462705,7.8e-05
8,real,-4.365234,0.083666,0.226562,0.762558,1e-05
9,real,-4.34375,0.109514,0.304688,0.646162,5.2e-05
10,real,-4.361328,0.099992,0.273438,0.732177,4.9e-05
11,real,-4.361328,0.122674,0.34375,0.448686,2.4e-05
12,real,-4.300781,0.120367,0.339844,0.782372,0.000129
13,real,-4.34082,0.074903,0.195312,0.714844,4e-05
14,real,-4.317383,0.119008,0.332031,0.750117,4.4e-05
15,real,-4.271484,0.126411,0.351562,0.523498,6.7e-05
16,real,-4.227539,0.067,0.1875,0.693494,8.6e-05
17,real,-4.310547,0.119938,0.335938,0.741539,7.3e-05
18,real,-4.30664,0.082426,0.230469,0.838228,0.000171
19,real,-4.356446,0.08745,0.246094,0.601577,7.4e-05
20,real,-4.305664,0.145094,0.402344,0.476488,0.000807
21,real,-4.355469,0.104268,0.28125,0.796205,3.9e-05
22,real,-4.291016,0.171353,0.464844,0.586743,0.000164
23,real,-4.34375,0.113248,0.3125,0.695955,2.7e-05
24,real,-4.335938,0.122659,0.34375,0.696773,5e-05
25,real,-4.273438,0.134836,0.347656,0.568722,0.000117
26,real,-4.364258,0.097397,0.253906,0.797561,4.4e-05
27,real,-4.351562,0.095803,0.257812,0.783758,3.6e-05
28,real,-4.37793,0.080831,0.210938,0.652746,1.7e-05
29,real,-4.286133,0.127429,0.359375,0.649851,0.000167
30,real,-4.333984,0.10988,0.308594,0.589819,0.000118
31,real,-4.350586,0.115462,0.320312,0.759122,2.5e-05
32,real,-4.405274,0.078484,0.199219,0.730616,1.8e-05
33,real,-4.34668,0.118301,0.332031,0.656509,3.4e-05
34,real,-4.352539,0.100747,0.277344,0.38801,7.1e-05
35,real,-4.376953,0.074142,0.183594,0.776512,4.7e-05
36,real,-4.339844,0.098085,0.273438,0.664267,0.000152
37,real,-4.365234,0.111499,0.3125,0.701079,3.2e-05
38,real,-4.37207,0.095299,0.257812,0.482674,7.3e-05
39,real,-4.326172,0.127193,0.347656,0.628349,5e-05
40,real,-4.334961,0.126618,0.355469,0.489524,3.3e-05
41,real,-4.352539,0.085286,0.222656,0.719724,3.8e-05
42,real,-4.242676,0.175316,0.466797,0.421409,0.000441
43,real,-4.250976,0.120853,0.339844,0.620705,0.000459
44,real,-4.320312,0.122876,0.34375,0.582954,4.1e-05
45,real,-4.30957,0.137868,0.382812,0.624702,0.000283
46,real,-4.245117,0.147416,0.402344,0.56306,0.000105
47,real,-4.33789,0.121988,0.339844,0.660729,1.8e-05
48,real,-4.33789,0.113701,0.320312,0.434259,8.4e-05
49,real,-4.379883,0.084432,0.21875,0.565924,2.5e-05
50,real,-4.387696,0.079114,0.210938,0.687427,2.5e-05
51,real,-4.360352,0.092124,0.253906,0.811891,2.4e-05
52,real,-4.345703,0.085247,0.222656,0.889877,6.7e-05
53,near,-4.022461,0.216535,0.560547,0.650384,0.000188
54,near,-3.221192,0.350904,0.898438,0.847032,6.7e-05
55,near,-4.22168,0.100595,0.246094,0.706428,0.000521
56,near,-4.083008,0.337358,0.8125,0.500599,0.000146
57,near,-3.78711,0.270855,0.654297,0.702815,0.000163
58,near,-3.893555,0.245836,0.613281,0.781234,0.000279
59,near,-3.60791,0.337601,0.695312,0.823688,0.000132
60,near,-3.825684,0.194615,0.480469,0.708334,0.000286
61,near,-3.446777,0.447166,1.105469,0.878807,0.000101
62,near,-4.061524,0.392762,0.96875,0.478409,0.000348
63,near,-3.833496,0.262182,0.662109,0.822899,0.00027
64,near,-4.11084,0.07916,0.205078,0.742088,0.000468
65,near,-3.963867,0.367918,0.878906,0.716806,0.000853
66,near,-4.249512,0.198482,0.525391,0.500834,0.000212
67,near,-3.574219,0.337639,0.826172,0.862265,0.000139
68,near,-3.801758,0.361263,0.945312,0.675172,8.7e-05
69,near,-4.040039,0.282338,0.695312,0.715695,0.00018
70,near,-4.124024,0.250082,0.59375,0.592796,0.000414
71,near,-3.270996,0.420508,1.087891,0.867602,7.4e-05
72,near,-3.414062,0.279068,0.701172,0.834518,0.000154
73,near,-4.171875,0.261018,0.679688,0.585873,0.00028
74,near,-3.837402,0.281397,0.683594,0.839571,0.000102
75,near,-3.913574,0.17405,0.447266,0.799269,0.000153
76,near,-3.522949,0.466726,1.154297,0.858575,0.000158
77,near,-4.26123,0.162476,0.412109,0.493832,0.000149
78,near,-3.436524,0.404685,1.082031,0.822766,0.000102
79,near,-3.998047,0.297498,0.753906,0.577115,0.000669
80,near,-3.502442,0.437429,1.0625,0.786088,0.000193
81,near,-4.145996,0.273638,0.669922,0.522379,0.000231
82,near,-3.661133,0.476447,1.189453,0.738639,0.000175
83,near,-3.9375,0.322721,0.816406,0.613649,0.000184
84,near,-4.239746,0.173638,0.474609,0.783001,7.2e-05
85,near,-4.20166,0.204106,0.533203,0.560021,8.2e-05
86,near,-3.576172,0.461956,1.175781,0.823968,0.000191
87,near,-3.90918,0.183783,0.427734,0.817372,0.000239
88,near,-3.927734,0.265747,0.65625,0.643119,0.000721
89,near,-4.06836,0.155135,0.386719,0.789002,6.2e-05
90,near,-3.543945,0.220342,0.511719,0.733622,0.000312
91,near,-3.632324,0.303563,0.761719,0.863462,9.9e-05
92,near,-4.101074,0.244665,0.580078,0.730915,0.000218
93,near,-4.086914,0.215506,0.515625,0.764089,0.000183
94,near,-3.419922,0.435247,1.064453,0.859874,5.9e-05
95,near,-4.17041,0.251625,0.615234,0.611269,0.000274
96,near,-3.854492,0.210908,0.53125,0.810476,0.000239
97,near,-3.44873,0.318723,0.802734,0.857159,9.9e-05
98,near,-4.196289,0.171706,0.433594,0.697111,0.000146
99,near,-4.03125,0.326072,0.78125,0.840012,0.000111
100,near,-4.01123,0.298555,0.693359,0.821145,0.00044
101,near,-4.007324,0.275696,0.693359,0.638718,0.00017
102,near,-3.93457,0.343921,0.859375,0.700126,5.6e-05
103,near,-3.462402,0.45811,1.158203,0.813723,0.00012
104,near,-3.678223,0.447128,1.113281,0.815996,0.000246
105,near,-3.956543,0.266479,0.671875,0.66338,0.000426
106,near,-4.208496,0.151851,0.392578,0.674919,0.000268
107,near,-3.756348,0.257873,0.630859,0.786556,0.000328
108,near,-4.015137,0.303384,0.716797,0.707554,0.000136
109,near,-4.038574,0.287376,0.712891,0.631689,0.000833
110,near,-3.484863,0.454624,1.125,0.791659,0.000128
111,near,-4.277344,0.126517,0.335938,0.503984,0.00016
112,near,-4.062012,0.288397,0.705078,0.63893,0.000359
113,near,-3.403808,0.278857,0.697266,0.869854,8.4e-05
114,near,-3.95166,0.352623,0.863281,0.625227,0.000726
115,near,-3.934082,0.153792,0.388672,0.637936,0.000187
116,near,-3.311035,0.322317,0.853516,0.841911,6.3e-05
117,near,-3.79541,0.253061,0.650391,0.763391,0.000459
118,near,-4.160156,0.197159,0.480469,0.584313,0.000332
119,near,-4.084473,0.292054,0.705078,0.658669,0.000292
120,near,-3.725098,0.227794,0.554688,0.906046,0.000105
121,near,-3.798828,0.334883,0.888672,0.65801,0.000486
122,near,-3.922852,0.251982,0.613281,0.663227,0.000456
123,near,-3.785156,0.504963,1.275391,0.807365,9.7e-05
124,near,-3.446777,0.451067,1.216797,0.821226,0.000116
125,near,-4.275879,0.190264,0.513672,0.391481,0.000111
126,near,-4.029297,0.382698,0.90625,0.651833,0.000198
127,near,-3.729004,0.297617,0.775391,0.865182,0.000168
128,near,-4.282226,0.146455,0.382812,0.61724,5.5e-05
129,near,-4.189942,0.170814,0.439453,0.639639,0.000163
130,near,-3.398926,0.272401,0.689453,0.860172,9.1e-05
131,near,-4.111328,0.196607,0.507812,0.713864,8.8e-05
132,near,-4.021484,0.042117,0.105469,0.640238,0.000182
133,near,-3.736328,0.328514,0.828125,0.846278,0.000145
134,near,-4.125488,0.158867,0.400391,0.776493,0.000223
135,near,-3.708496,0.308861,0.759766,0.839342,0.000335
136,near,-4.003906,0.143046,0.398438,0.715166,0.000181
137,near,-3.884766,0.187673,0.496094,0.730792,0.00038
138,near,-4.035644,0.261122,0.615234,0.752684,7.6e-05
139,near,-3.814942,0.208305,0.515625,0.773739,0.000225
140,near,-4.227539,0.1422,0.367188,0.651508,0.000262
141,near,-3.761719,0.348399,0.869141,0.625724,0.000391
142,near,-4.146484,0.191097,0.457031,0.54557,0.00023
143,near,-4.050293,0.291868,0.685547,0.59344,0.00018
144,near,-3.505371,0.439886,1.121094,0.77437,0.000228
145,near,-4.021973,0.22586,0.525391,0.701041,0.000341
146,near,-3.961914,0.37535,0.917969,0.635993,0.00059
147,near,-3.799316,0.403781,0.972656,0.80345,0.000339
148,near,-3.600098,0.289654,0.724609,0.85535,0.000121
149,near,-3.368164,0.257744,0.640625,0.907741,6.8e-05
150,near,-4.288086,0.176612,0.46875,0.502221,0.000126
151,near,-3.791016,0.301032,0.744141,0.816157,0.000119
152,near,-4.241211,0.215666,0.554688,0.664097,0.000139
153,near,-3.787598,0.47788,1.150391,0.817473,0.000205
154,near,-3.896973,0.441841,1.107422,0.797763,0.000204
155,near,-3.764648,0.27237,0.619141,0.761545,7.7e-05
156,near,-3.452637,0.459882,1.134766,0.820305,0.000145
157,near,-3.728516,0.195347,0.445312,0.818489,0.000129
158,near,-4.096192,0.162188,0.451172,0.758451,0.000112
159,near,-4.185547,0.196743,0.492188,0.679246,5.4e-05
160,near,-3.970215,0.18943,0.445312,0.683086,0.000255
161,near,-3.768066,0.282574,0.689453,0.700871,0.00056
162,near,-4.308594,0.133529,0.371094,0.4518,0.000307
163,near,-3.535644,0.567823,1.445312,0.731703,0.000144
164,near,-4.242188,0.191346,0.519531,0.553626,0.000128
165,near,-4.087402,0.11255,0.298828,0.649131,0.000427
166,near,-3.658692,0.251318,0.626953,0.873274,0.000125
167,near,-3.321777,0.286306,0.712891,0.904415,7.6e-05
168,near,-3.40625,0.405691,1.019531,0.874628,9.7e-05
169,near,-3.710449,0.308434,0.78125,0.710903,0.000263
170,near,-3.802246,0.455106,1.101562,0.599488,0.000695
171,near,-4.100098,0.243552,0.607422,0.390073,0.000942
172,near,-3.803711,0.376027,0.923828,0.775858,0.000241
173,near,-3.797852,0.398372,0.958984,0.873063,0.000313
174,near,-4.202636,0.151177,0.376953,0.689508,0.000245
175,near,-3.94336,0.27269,0.660156,0.632755,0.000808
176,near,-4.09961,0.245512,0.597656,0.679845,0.000332
