eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
0,real,-3.9375,0.204193,0.519531,0.749166,6.3e-05
1,real,-4.05664,0.029035,0.074219,0.631148,0.000219
2,real,-4.214844,0.04547,0.121094,0.568738,8.4e-05
3,real,-4.118652,0.127189,0.298828,0.716963,0.000176
4,real,-3.973633,0.20489,0.457031,0.715171,0.000103
5,real,-4.25,0.032799,0.082031,0.553778,8.5e-05
6,real,-4.238281,0.03867,0.101562,0.649475,3.4e-05
7,real,-4.208008,0.079498,0.191406,0.666089,8.2e-05
8,real,-4.22461,0.05507,0.140625,0.811734,1.1e-05
9,real,-4.214844,0.051601,0.128906,0.499901,8.7e-05
10,real,-4.119629,0.142708,0.357422,0.642867,9.5e-05
11,real,-4.111328,0.146276,0.371094,0.509292,0.000284
12,real,-3.99707,0.154522,0.376953,0.944253,8e-05
13,real,-4.231446,0.046002,0.121094,0.719785,2.8e-05
14,real,-3.938965,0.351175,0.904297,0.520114,0.000561
15,real,-4.102539,0.079929,0.195312,0.488597,0.000128
16,real,-4.032715,0.187964,0.494141,0.777543,7.9e-05
17,real,-3.921387,0.332021,0.798828,0.580329,0.00025
18,real,-4.004883,0.196527,0.441406,0.871677,0.000104
19,real,-4.213867,0.063311,0.175781,0.567082,0.000103
20,real,-4.19336,0.059402,0.132812,0.901316,5.4e-05
21,real,-4.120606,0.154151,0.376953,0.832508,4.7e-05
22,real,-3.919434,0.313138,0.863281,0.854096,8.9e-05
23,real,-3.996094,0.167172,0.398438,0.788283,7.8e-05
24,real,-3.964844,0.30475,0.746094,0.437893,0.000279
25,real,-3.865234,0.19241,0.496094,0.686987,0.000117
26,real,-4.194336,0.083751,0.203125,0.861786,4.7e-05
27,real,-4.180664,0.077948,0.171875,0.900953,4.5e-05
28,real,-4.230469,0.052043,0.144531,0.765468,5.2e-05
29,real,-4.059082,0.153083,0.332031,0.821236,7.1e-05
30,real,-4.219726,0.041742,0.101562,0.814419,4.6e-05
31,real,-4.036133,0.212031,0.501953,0.814545,6.2e-05
32,real,-4.182617,0.113965,0.308594,0.451485,6.5e-05
33,real,-4.199219,0.095843,0.265625,0.470318,0.000444
34,real,-4.122558,0.108582,0.291016,0.752207,9.9e-05
35,real,-4.073242,0.183201,0.404297,0.691214,0.000127
36,real,-4.180664,0.076515,0.199219,0.649562,0.000187
37,real,-4.259766,0.066779,0.175781,0.73117,6e-05
38,real,-4.141602,0.114998,0.320312,0.898432,7e-05
39,real,-4.169922,0.084573,0.210938,0.682867,7.1e-05
40,real,-4.166992,0.080025,0.199219,0.362734,0.000167
