dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
abalone,100,0,baseline,lr,12.9735,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.2368, 0.2203, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7143, 0.0, 0.383, 0.4265, 0.1446]",,,0.86,ok
abalone,100,0,baseline,knn,16.3266,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.4211, 0.2712, 0.0938, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8571, 0.2903, 0.2766, 0.3529, 0.1325]",,,0.05,ok
abalone,100,0,baseline,mlp,17.0888,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.2368, 0.2881, 0.0312, 0.08, 0.0667, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7857, 0.0, 0.4255, 0.5, 0.241]",,,0.18,ok
abalone,100,0,baseline,rf,15.1034,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.3289, 0.322, 0.0, 0.08, 0.0667, 0.0833, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5714, 0.1613, 0.2979, 0.3382, 0.1928]",,,0.43,ok
abalone,100,0,baseline,xgboost,14.7837,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.3158, 0.2542, 0.0312, 0.08, 0.0667, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7857, 0.0968, 0.2979, 0.3088, 0.1928]",,,0.39,ok
abalone,100,0,baseline,tabpfn,,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,,,,0.0,skipped: tabpfn max 10 classes
abalone,100,0,smote,lr,12.9735,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,"[0.2368, 0.2203, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7143, 0.0, 0.383, 0.4265, 0.1446]",,,0.69,ok
abalone,100,0,smote,knn,16.3266,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,"[0.4211, 0.2712, 0.0938, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8571, 0.2903, 0.2766, 0.3529, 0.1325]",,,0.03,ok
abalone,100,0,smote,mlp,16.3444,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,"[0.2368, 0.322, 0.0312, 0.08, 0.0667, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7143, 0.0, 0.3191, 0.5294, 0.2289]",,,0.17,ok
abalone,100,0,smote,rf,15.1122,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,"[0.2895, 0.2542, 0.0625, 0.08, 0.0667, 0.0833, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7143, 0.0968, 0.2979, 0.2941, 0.2048]",,,0.25,ok
abalone,100,0,smote,xgboost,14.7837,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,"[0.3158, 0.2542, 0.0312, 0.08, 0.0667, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7857, 0.0968, 0.2979, 0.3088, 0.1928]",,,0.26,ok
abalone,100,0,smote,tabpfn,,42,100,496,3653,17,4,"[15, 12, 6, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 6, 9, 14, 17]","[76, 59, 32, 25, 15, 12, 8, 7, 5, 4, 3, 7, 14, 31, 47, 68, 83]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,,,,0.0,skipped: tabpfn max 10 classes
