=== auction n=100 on GPU 3 ===

============================================================
Dataset: auction, N_real: 100, GPUs: [3]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[3], cpu_jobs=6

[1/4] Loading dataset...
  Loaded auction: 1470 samples, 34 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [1/300] split=0 baseline +       lr -> 57.05% (1.0s)
  [2/300] split=0 baseline +      knn -> 51.00% (0.1s)
  [3/300] split=0 baseline +      mlp -> 55.66% (0.6s)
  [4/300] split=0 baseline +       rf -> 51.73% (0.2s)
  [5/300] split=0 baseline +  xgboost -> 59.22% (0.7s)
  [6/300] split=0 baseline +   tabpfn -> 51.85% (1.5s)
  [7/300] split=0    smote +       lr -> 58.15% (0.6s)
  [8/300] split=0    smote +      knn -> 56.20% (0.1s)
  [9/300] split=0    smote +      mlp -> 57.17% (1.2s)
  [10/300] split=0    smote +       rf -> 51.87% (0.2s)
  [11/300] split=0    smote +  xgboost -> 55.52% (3.4s)
  [12/300] split=0    smote +   tabpfn -> 58.97% (1.5s)
  [13/300] split=0   tabebm +       lr -> 62.66% (1.2s)
  [14/300] split=0   tabebm +      knn -> 56.26% (0.2s)
  [15/300] split=0   tabebm +      mlp -> 60.88% (1.1s)
  [16/300] split=0   tabebm +       rf -> 54.24% (0.3s)
  [17/300] split=0   tabebm +  xgboost -> 58.98% (3.6s)
  [18/300] split=0   tabebm +   tabpfn -> 50.88% (1.5s)
  [19/300] split=0     tvae +       lr -> 62.47% (1.0s)
  [20/300] split=0     tvae +      knn -> 63.27% (0.2s)
  [21/300] split=0     tvae +      mlp -> 62.10% (1.6s)
  [22/300] split=0     tvae +       rf -> 55.46% (0.4s)
  [23/300] split=0     tvae +  xgboost -> 59.30% (1.0s)
  [24/300] split=0     tvae +   tabpfn -> 59.90% (1.8s)
  [25/300] split=0    ctgan +       lr -> 57.05% (1.0s)
  [26/300] split=0    ctgan +      knn -> 51.00% (0.2s)
  [27/300] split=0    ctgan +      mlp -> 53.71% (2.7s)
  [28/300] split=0    ctgan +       rf -> 52.23% (0.2s)
  [29/300] split=0    ctgan +  xgboost -> 59.22% (0.5s)
  [30/300] split=0    ctgan +   tabpfn -> 51.85% (1.5s)
  [31/300] split=1 baseline +       lr -> 60.54% (0.9s)
  [32/300] split=1 baseline +      knn -> 54.24% (0.2s)
  [33/300] split=1 baseline +      mlp -> 60.66% (0.8s)
  [34/300] split=1 baseline +       rf -> 57.29% (0.2s)
  [35/300] split=1 baseline +  xgboost -> 61.29% (0.9s)
  [36/300] split=1 baseline +   tabpfn -> 63.52% (1.7s)
  [37/300] split=1    smote +       lr -> 59.15% (0.2s)
  [38/300] split=1    smote +      knn -> 62.31% (0.1s)
  [39/300] split=1    smote +      mlp -> 59.70% (1.8s)
  [40/300] split=1    smote +       rf -> 64.48% (0.2s)
  [41/300] split=1    smote +  xgboost -> 64.78% (0.2s)
  [42/300] split=1    smote +   tabpfn -> 62.27% (1.1s)
  [43/300] split=1   tabebm +       lr -> 58.91% (0.0s)
  [44/300] split=1   tabebm +      knn -> 62.77% (0.1s)
  [45/300] split=1   tabebm +      mlp -> 62.33% (0.3s)
  [46/300] split=1   tabebm +       rf -> 63.14% (0.2s)
  [47/300] split=1   tabebm +  xgboost -> 65.04% (0.1s)
  [48/300] split=1   tabebm +   tabpfn -> 52.61% (0.8s)
