dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
auction,100,0,baseline,lr,57.0538,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9189, 0.2222]",,,0.95,ok
auction,100,0,baseline,knn,50.9959,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9952, 0.0247]",,,0.12,ok
auction,100,0,baseline,mlp,55.6587,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9403, 0.1728]",,,0.55,ok
auction,100,0,baseline,rf,51.7325,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9976, 0.037]",,,0.23,ok
auction,100,0,baseline,xgboost,59.2224,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9499, 0.2346]",,,0.66,ok
auction,100,0,baseline,tabpfn,51.8519,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[1.0, 0.037]",,,1.54,ok
auction,100,0,smote,lr,58.1529,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.8544, 0.3086]",0.019693,0.210917,0.57,ok
auction,100,0,smote,knn,56.1979,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.9141, 0.2099]",0.019693,0.210917,0.13,ok
auction,100,0,smote,mlp,57.1732,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.9212, 0.2222]",0.019693,0.210917,1.16,ok
auction,100,0,smote,rf,51.8725,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.9881, 0.0494]",0.019693,0.210917,0.23,ok
auction,100,0,smote,xgboost,55.5187,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.9499, 0.1605]",0.019693,0.210917,3.38,ok
auction,100,0,smote,tabpfn,58.9676,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.16,"[0.8831, 0.2963]",0.019693,0.210917,1.46,ok
auction,100,0,tabebm,lr,62.6551,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.821, 0.4321]",0.00025,0.090147,1.21,ok
auction,100,0,tabebm,knn,56.2598,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.8783, 0.2469]",0.00025,0.090147,0.2,ok
auction,100,0,tabebm,mlp,60.8769,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.9212, 0.2963]",0.00025,0.090147,1.12,ok
auction,100,0,tabebm,rf,54.2429,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.9737, 0.1111]",0.00025,0.090147,0.3,ok
auction,100,0,tabebm,xgboost,58.9838,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.9451, 0.2346]",0.00025,0.090147,3.6,ok
auction,100,0,tabebm,tabpfn,50.8766,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",38.44,"[0.9928, 0.0247]",0.00025,0.090147,1.48,ok
auction,100,0,tvae,lr,62.4739,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.8544, 0.3951]",3e-06,0.047061,1.04,ok
auction,100,0,tvae,knn,63.2723,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.821, 0.4444]",3e-06,0.047061,0.19,ok
auction,100,0,tvae,mlp,62.0952,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.8592, 0.3827]",3e-06,0.047061,1.6,ok
auction,100,0,tvae,rf,55.4568,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.9857, 0.1235]",3e-06,0.047061,0.36,ok
auction,100,0,tvae,xgboost,59.3049,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.9021, 0.284]",3e-06,0.047061,1.01,ok
auction,100,0,tvae,tabpfn,59.9016,42,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",21.29,"[0.9141, 0.284]",3e-06,0.047061,1.82,ok
auction,100,0,ctgan,lr,57.0538,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[0.9189, 0.2222]",,,1.04,ok
auction,100,0,ctgan,knn,50.9959,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[0.9952, 0.0247]",,,0.18,ok
auction,100,0,ctgan,mlp,53.7081,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[0.926, 0.1481]",,,2.73,ok
auction,100,0,ctgan,rf,52.2305,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[0.9952, 0.0494]",,,0.24,ok
auction,100,0,ctgan,xgboost,59.2224,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[0.9499, 0.2346]",,,0.48,ok
auction,100,0,ctgan,tabpfn,51.8519,42,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",5.07,"[1.0, 0.037]",,,1.49,ok
auction,100,1,baseline,lr,60.5395,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9021, 0.3086]",,,0.95,ok
auction,100,1,baseline,knn,54.2429,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9737, 0.1111]",,,0.18,ok
auction,100,1,baseline,mlp,60.6588,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9045, 0.3086]",,,0.8,ok
auction,100,1,baseline,rf,57.2881,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9976, 0.1481]",,,0.22,ok
auction,100,1,baseline,xgboost,61.2923,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9666, 0.2593]",,,0.93,ok
auction,100,1,baseline,tabpfn,63.5228,43,100,500,970,2,0,"[84, 16]","[419, 81]",0,"[0, 0]",0.0,"[0.9618, 0.3086]",,,1.7,ok
auction,100,1,smote,lr,59.1488,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.8496, 0.3333]",0.050918,0.239475,0.18,ok
auction,100,1,smote,knn,62.3133,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.8759, 0.3704]",0.050918,0.239475,0.13,ok
auction,100,1,smote,mlp,59.7042,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.8854, 0.3086]",0.050918,0.239475,1.83,ok
auction,100,1,smote,rf,64.4774,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9809, 0.3086]",0.050918,0.239475,0.17,ok
auction,100,1,smote,xgboost,64.778,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.9499, 0.3457]",0.050918,0.239475,0.19,ok
auction,100,1,smote,tabpfn,62.272,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[420, 80]",0.1,"[0.8998, 0.3457]",0.050918,0.239475,1.15,ok
auction,100,1,tabebm,lr,58.9101,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.8449, 0.3333]",0.00123,0.100809,0.03,ok
auction,100,1,tabebm,knn,62.7744,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.8234, 0.4321]",0.00123,0.100809,0.14,ok
auction,100,1,tabebm,mlp,62.3339,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.864, 0.3827]",0.00123,0.100809,0.31,ok
auction,100,1,tabebm,rf,63.1442,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.9666, 0.2963]",0.00123,0.100809,0.21,ok
auction,100,1,tabebm,xgboost,65.0373,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.9427, 0.358]",0.00123,0.100809,0.1,ok
auction,100,1,tabebm,tabpfn,52.6091,43,100,500,970,2,0,"[84, 16]","[419, 81]",500,"[250, 250]",36.77,"[0.9905, 0.0617]",0.00123,0.100809,0.82,ok
