dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
biodeg,50,0,baseline,lr,75.7218,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8399, 0.6746]",,,0.95,ok
biodeg,50,0,baseline,knn,75.3321,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.7492, 0.7574]",,,0.12,ok
biodeg,50,0,baseline,mlp,76.0301,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.852, 0.6686]",,,0.09,ok
biodeg,50,0,baseline,rf,74.0852,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8308, 0.6509]",,,0.29,ok
biodeg,50,0,baseline,xgboost,72.7444,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8218, 0.6331]",,,0.2,ok
biodeg,50,0,baseline,tabpfn,75.0165,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8731, 0.6272]",,,1.13,ok
biodeg,50,0,smote,lr,74.0852,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8308, 0.6509]",0.655462,0.567817,0.75,ok
biodeg,50,0,smote,knn,74.9477,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8066, 0.6923]",0.655462,0.567817,0.14,ok
biodeg,50,0,smote,mlp,74.8342,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8399, 0.6568]",0.655462,0.567817,0.43,ok
biodeg,50,0,smote,rf,75.1363,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8459, 0.6568]",0.655462,0.567817,0.19,ok
biodeg,50,0,smote,xgboost,72.1527,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8218, 0.6213]",0.655462,0.567817,0.1,ok
biodeg,50,0,smote,tabpfn,70.4026,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.05,"[0.8459, 0.5621]",0.655462,0.567817,0.31,ok
biodeg,50,0,tabebm,lr,73.7643,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.8066, 0.6686]",0.000825,0.276611,0.69,ok
biodeg,50,0,tabebm,knn,71.6557,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.7704, 0.6627]",0.000825,0.276611,0.14,ok
biodeg,50,0,tabebm,mlp,74.3873,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.8369, 0.6509]",0.000825,0.276611,0.38,ok
biodeg,50,0,tabebm,rf,74.6519,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.8066, 0.6864]",0.000825,0.276611,0.21,ok
biodeg,50,0,tabebm,xgboost,74.2175,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.8157, 0.6686]",0.000825,0.276611,0.11,ok
biodeg,50,0,tabebm,tabpfn,71.2902,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",38.43,"[0.8459, 0.5799]",0.000825,0.276611,0.74,ok
biodeg,50,0,tvae,lr,77.8303,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.8761, 0.6805]",2.8e-05,0.086418,0.84,ok
biodeg,50,0,tvae,knn,78.0824,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.8338, 0.7278]",2.8e-05,0.086418,0.28,ok
biodeg,50,0,tvae,mlp,77.8366,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.8822, 0.6746]",2.8e-05,0.086418,2.6,ok
biodeg,50,0,tvae,rf,77.0813,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.8671, 0.6746]",2.8e-05,0.086418,0.31,ok
biodeg,50,0,tvae,xgboost,75.2936,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.855, 0.6509]",2.8e-05,0.086418,1.04,ok
biodeg,50,0,tvae,tabpfn,72.9393,42,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",23.95,"[0.8671, 0.5917]",2.8e-05,0.086418,1.28,ok
biodeg,50,0,ctgan,lr,75.7218,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8399, 0.6746]",,,0.56,ok
biodeg,50,0,ctgan,knn,75.3321,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.7492, 0.7574]",,,0.11,ok
biodeg,50,0,ctgan,mlp,75.5895,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.855, 0.6568]",,,0.07,ok
biodeg,50,0,ctgan,rf,74.4186,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8671, 0.6213]",,,0.23,ok
biodeg,50,0,ctgan,xgboost,72.7444,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8218, 0.6331]",,,0.31,ok
biodeg,50,0,ctgan,tabpfn,75.0165,42,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8731, 0.6272]",,,0.88,ok
biodeg,50,1,baseline,lr,79.2846,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.852, 0.7337]",,,0.43,ok
biodeg,50,1,baseline,knn,71.6942,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.6647, 0.7692]",,,0.11,ok
biodeg,50,1,baseline,mlp,77.9,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8006, 0.7574]",,,0.07,ok
biodeg,50,1,baseline,rf,77.3396,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8308, 0.716]",,,0.15,ok
biodeg,50,1,baseline,xgboost,76.7729,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.855, 0.6805]",,,0.06,ok
biodeg,50,1,baseline,tabpfn,80.4367,43,50,500,555,2,0,"[33, 17]","[331, 169]",0,"[0, 0]",0.0,"[0.8218, 0.787]",,,0.71,ok
biodeg,50,1,smote,lr,80.8962,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.8369, 0.7811]",0.723497,0.670713,0.22,ok
biodeg,50,1,smote,knn,71.4233,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.6888, 0.7396]",0.723497,0.670713,0.13,ok
biodeg,50,1,smote,mlp,76.8802,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.8157, 0.7219]",0.723497,0.670713,0.24,ok
biodeg,50,1,smote,rf,76.4395,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.8187, 0.7101]",0.723497,0.670713,0.16,ok
biodeg,50,1,smote,xgboost,77.6229,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.8187, 0.7337]",0.723497,0.670713,0.07,ok
biodeg,50,1,smote,tabpfn,77.2136,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[330, 170]",0.04,"[0.852, 0.6923]",0.723497,0.670713,0.36,ok
biodeg,50,1,tabebm,lr,80.7451,43,50,500,555,2,0,"[33, 17]","[331, 169]",500,"[250, 250]",36.8,"[0.8338, 0.7811]",0.000377,0.224723,0.24,ok
