=== clinical n=100 on GPU 0 ===

============================================================
Dataset: clinical, N_real: 100, GPUs: [0]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[0], cpu_jobs=6

[1/4] Loading dataset...
  Loaded clinical: 48790 samples, 14 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [1/300] split=0 baseline +       lr -> 70.07% (1.2s)
  [2/300] split=0 baseline +      knn -> 69.82% (0.1s)
  [3/300] split=0 baseline +      mlp -> 70.59% (1.2s)
  [4/300] split=0 baseline +       rf -> 72.24% (0.2s)
  [5/300] split=0 baseline +  xgboost -> 73.99% (0.4s)
  [6/300] split=0 baseline +   tabpfn -> 71.91% (2.0s)
  [7/300] split=0    smote +       lr -> 73.22% (1.0s)
  [8/300] split=0    smote +      knn -> 70.37% (0.0s)
  [9/300] split=0    smote +      mlp -> 70.92% (3.3s)
  [10/300] split=0    smote +       rf -> 72.68% (0.3s)
  [11/300] split=0    smote +  xgboost -> 73.42% (1.3s)
  [12/300] split=0    smote +   tabpfn -> 76.05% (2.4s)
  [13/300] split=0   tabebm +       lr -> 72.02% (1.0s)
  [14/300] split=0   tabebm +      knn -> 68.95% (0.0s)
  [15/300] split=0   tabebm +      mlp -> 72.28% (4.5s)
  [16/300] split=0   tabebm +       rf -> 73.93% (0.3s)
  [17/300] split=0   tabebm +  xgboost -> 75.64% (1.4s)
  [18/300] split=0   tabebm +   tabpfn -> 69.69% (1.0s)
  [19/300] split=0     tvae +       lr -> 77.11% (1.1s)
  [20/300] split=0     tvae +      knn -> 75.04% (0.1s)
  [21/300] split=0     tvae +      mlp -> 78.66% (3.4s)
  [22/300] split=0     tvae +       rf -> 75.22% (0.2s)
  [23/300] split=0     tvae +  xgboost -> 77.92% (0.1s)
  [24/300] split=0     tvae +   tabpfn -> 74.65% (0.9s)
  [25/300] split=0    ctgan +       lr -> 70.07% (0.6s)
  [26/300] split=0    ctgan +      knn -> 69.82% (0.0s)
  [27/300] split=0    ctgan +      mlp -> 72.24% (0.8s)
  [28/300] split=0    ctgan +       rf -> 72.74% (0.2s)
  [29/300] split=0    ctgan +  xgboost -> 73.99% (0.5s)
  [30/300] split=0    ctgan +   tabpfn -> 71.91% (2.0s)
  [31/300] split=1 baseline +       lr -> 69.28% (1.3s)
  [32/300] split=1 baseline +      knn -> 68.22% (0.0s)
  [33/300] split=1 baseline +      mlp -> 72.70% (4.7s)
  [34/300] split=1 baseline +       rf -> 69.89% (0.4s)
  [35/300] split=1 baseline +  xgboost -> 68.64% (0.7s)
  [36/300] split=1 baseline +   tabpfn -> 72.21% (2.0s)
  [37/300] split=1    smote +       lr -> 71.86% (0.2s)
  [38/300] split=1    smote +      knn -> 72.74% (0.0s)
  [39/300] split=1    smote +      mlp -> 73.29% (5.7s)
  [40/300] split=1    smote +       rf -> 73.09% (0.2s)
  [41/300] split=1    smote +  xgboost -> 74.08% (0.1s)
  [42/300] split=1    smote +   tabpfn -> 75.50% (1.0s)
  [43/300] split=1   tabebm +       lr -> 71.01% (0.0s)
  [44/300] split=1   tabebm +      knn -> 72.63% (0.0s)
  [45/300] split=1   tabebm +      mlp -> 73.20% (0.5s)
  [46/300] split=1   tabebm +       rf -> 76.45% (0.2s)
  [47/300] split=1   tabebm +  xgboost -> 71.80% (0.1s)
  [48/300] split=1   tabebm +   tabpfn -> 70.37% (0.7s)
