dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
clinical,100,0,baseline,lr,70.0658,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9263, 0.475]",,,1.15,ok
clinical,100,0,baseline,knn,69.8246,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9132, 0.4833]",,,0.12,ok
clinical,100,0,baseline,mlp,70.5921,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8868, 0.525]",,,1.16,ok
clinical,100,0,baseline,rf,72.2368,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8947, 0.55]",,,0.24,ok
clinical,100,0,baseline,xgboost,73.9912,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8632, 0.6167]",,,0.44,ok
clinical,100,0,baseline,tabpfn,71.9079,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9132, 0.525]",,,2.0,ok
clinical,100,0,smote,lr,73.2237,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8895, 0.575]",0.344647,0.473974,0.97,ok
clinical,100,0,smote,knn,70.3728,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8658, 0.5417]",0.344647,0.473974,0.03,ok
clinical,100,0,smote,mlp,70.9211,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8684, 0.55]",0.344647,0.473974,3.33,ok
clinical,100,0,smote,rf,72.6754,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8868, 0.5667]",0.344647,0.473974,0.27,ok
clinical,100,0,smote,xgboost,73.4211,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8684, 0.6]",0.344647,0.473974,1.31,ok
clinical,100,0,smote,tabpfn,76.0526,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.01,"[0.8711, 0.65]",0.344647,0.473974,2.37,ok
clinical,100,0,tabebm,lr,72.0175,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.7737, 0.6667]",1e-06,0.072852,0.97,ok
clinical,100,0,tabebm,knn,68.9474,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.8289, 0.55]",1e-06,0.072852,0.04,ok
clinical,100,0,tabebm,mlp,72.2807,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.8789, 0.5667]",1e-06,0.072852,4.48,ok
clinical,100,0,tabebm,rf,73.9254,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.8868, 0.5917]",1e-06,0.072852,0.32,ok
clinical,100,0,tabebm,xgboost,75.636,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.8711, 0.6417]",1e-06,0.072852,1.36,ok
clinical,100,0,tabebm,tabpfn,69.693,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",36.83,"[0.9105, 0.4833]",1e-06,0.072852,0.96,ok
clinical,100,0,tvae,lr,77.1053,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.7421, 0.8]",0.0,0.00426,1.07,ok
clinical,100,0,tvae,knn,75.0439,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.7842, 0.7167]",0.0,0.00426,0.06,ok
clinical,100,0,tvae,mlp,78.6623,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.8316, 0.7417]",0.0,0.00426,3.42,ok
clinical,100,0,tvae,rf,75.2193,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.8711, 0.6333]",0.0,0.00426,0.25,ok
clinical,100,0,tvae,xgboost,77.9167,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.85, 0.7083]",0.0,0.00426,0.09,ok
clinical,100,0,tvae,tabpfn,74.6491,42,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",13.29,"[0.8763, 0.6167]",0.0,0.00426,0.91,ok
clinical,100,0,ctgan,lr,70.0658,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.9263, 0.475]",,,0.65,ok
clinical,100,0,ctgan,knn,69.8246,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.9132, 0.4833]",,,0.04,ok
clinical,100,0,ctgan,mlp,72.2368,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.8947, 0.55]",,,0.83,ok
clinical,100,0,ctgan,rf,72.7412,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.9132, 0.5417]",,,0.23,ok
clinical,100,0,ctgan,xgboost,73.9912,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.8632, 0.6167]",,,0.48,ok
clinical,100,0,ctgan,tabpfn,71.9079,42,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.0,"[0.9132, 0.525]",,,1.98,ok
clinical,100,1,baseline,lr,69.2763,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9105, 0.475]",,,1.28,ok
clinical,100,1,baseline,knn,68.2237,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8895, 0.475]",,,0.05,ok
clinical,100,1,baseline,mlp,72.6974,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8789, 0.575]",,,4.74,ok
clinical,100,1,baseline,rf,69.8904,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9395, 0.4583]",,,0.39,ok
clinical,100,1,baseline,xgboost,68.6404,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8895, 0.4833]",,,0.67,ok
clinical,100,1,baseline,tabpfn,72.2149,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.9026, 0.5417]",,,2.03,ok
clinical,100,1,smote,lr,71.864,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8789, 0.5583]",0.364397,0.401594,0.18,ok
clinical,100,1,smote,knn,72.7412,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8632, 0.5917]",0.364397,0.401594,0.05,ok
clinical,100,1,smote,mlp,73.2895,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8658, 0.6]",0.364397,0.401594,5.69,ok
clinical,100,1,smote,rf,73.0921,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8868, 0.575]",0.364397,0.401594,0.19,ok
clinical,100,1,smote,xgboost,74.0789,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8816, 0.6]",0.364397,0.401594,0.1,ok
clinical,100,1,smote,tabpfn,75.5044,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8684, 0.6417]",0.364397,0.401594,0.98,ok
clinical,100,1,tabebm,lr,71.0088,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.8368, 0.5833]",3e-06,0.05312,0.02,ok
clinical,100,1,tabebm,knn,72.6316,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.8526, 0.6]",3e-06,0.05312,0.03,ok
clinical,100,1,tabebm,mlp,73.2018,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.8474, 0.6167]",3e-06,0.05312,0.47,ok
clinical,100,1,tabebm,rf,76.4474,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.8789, 0.65]",3e-06,0.05312,0.2,ok
clinical,100,1,tabebm,xgboost,71.7982,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.8526, 0.5833]",3e-06,0.05312,0.1,ok
clinical,100,1,tabebm,tabpfn,70.3728,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.04,"[0.9158, 0.4917]",3e-06,0.05312,0.73,ok
clinical,100,1,tvae,lr,70.8114,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8579, 0.5583]",0.0,0.071882,0.02,ok
clinical,100,1,tvae,knn,71.4035,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8447, 0.5833]",0.0,0.071882,0.02,ok
clinical,100,1,tvae,mlp,71.4254,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8368, 0.5917]",0.0,0.071882,4.29,ok
clinical,100,1,tvae,rf,73.5746,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8632, 0.6083]",0.0,0.071882,0.24,ok
clinical,100,1,tvae,xgboost,70.943,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8605, 0.5583]",0.0,0.071882,0.13,ok
clinical,100,1,tvae,tabpfn,70.3289,43,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",8.22,"[0.8816, 0.525]",0.0,0.071882,1.08,ok
clinical,100,1,ctgan,lr,69.2763,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.9105, 0.475]",,,0.02,ok
clinical,100,1,ctgan,knn,68.2237,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.8895, 0.475]",,,0.03,ok
clinical,100,1,ctgan,mlp,73.3772,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.8842, 0.5833]",,,1.59,ok
clinical,100,1,ctgan,rf,69.8026,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.9211, 0.475]",,,0.21,ok
clinical,100,1,ctgan,xgboost,68.6404,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.8895, 0.4833]",,,0.13,ok
clinical,100,1,ctgan,tabpfn,72.2149,43,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",1.31,"[0.9026, 0.5417]",,,1.4,ok
clinical,100,2,baseline,lr,65.7018,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8474, 0.4667]",,,0.01,ok
clinical,100,2,baseline,knn,71.4912,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8132, 0.6167]",,,0.04,ok
clinical,100,2,baseline,mlp,66.9737,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8395, 0.5]",,,0.5,ok
clinical,100,2,baseline,rf,65.5921,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8868, 0.425]",,,0.23,ok
clinical,100,2,baseline,xgboost,64.9561,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8658, 0.4333]",,,1.42,ok
clinical,100,2,baseline,tabpfn,68.7939,44,100,500,48290,2,0,"[76, 24]","[380, 120]",0,"[0, 0]",0.0,"[0.8842, 0.4917]",,,1.95,ok
clinical,100,2,smote,lr,64.1667,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8, 0.4833]",0.384735,0.452843,0.04,ok
clinical,100,2,smote,knn,67.4342,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8237, 0.525]",0.384735,0.452843,0.06,ok
clinical,100,2,smote,mlp,64.7149,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8526, 0.4417]",0.384735,0.452843,3.94,ok
clinical,100,2,smote,rf,65.7675,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8737, 0.4417]",0.384735,0.452843,0.23,ok
clinical,100,2,smote,xgboost,65.4167,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.85, 0.4583]",0.384735,0.452843,0.82,ok
clinical,100,2,smote,tabpfn,67.5658,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",0.0,"[0.8763, 0.475]",0.384735,0.452843,1.52,ok
clinical,100,2,tabebm,lr,70.0439,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.7342, 0.6667]",4e-06,0.056632,0.02,ok
clinical,100,2,tabebm,knn,68.2237,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.7395, 0.625]",4e-06,0.056632,0.02,ok
clinical,100,2,tabebm,mlp,64.7588,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.8368, 0.4583]",4e-06,0.056632,0.84,ok
clinical,100,2,tabebm,rf,68.3553,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.8421, 0.525]",4e-06,0.056632,0.18,ok
clinical,100,2,tabebm,xgboost,68.0263,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.8105, 0.55]",4e-06,0.056632,0.09,ok
clinical,100,2,tabebm,tabpfn,66.2719,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[250, 250]",39.81,"[0.8921, 0.4333]",4e-06,0.056632,0.72,ok
clinical,100,2,tvae,lr,69.7368,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",9.44,"[0.7947, 0.6]",0.0,0.005162,0.04,ok
clinical,100,2,tvae,knn,69.7368,44,100,500,48290,2,0,"[76, 24]","[380, 120]",500,"[380, 120]",9.44,"[0.7447, 0.65]",0.0,0.005162,0.03,ok
