dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
collins,50,0,baseline,lr,12.9213,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.0909, 0.0769, 0.0, 0.0, 0.2222, 0.0833, 0.5, 0.1333, 0.325, 0.0667, 0.0833, 0.0, 0.0, 0.1818, 0.0714, 0.125, 0.0, 0.1111, 0.125, 0.0789, 0.0, 0.375, 0.5, 0.0, 0.1429, 0.0667]",,,0.75,ok
collins,50,0,baseline,knn,11.4005,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.4091, 0.1538, 0.2222, 0.375, 0.2222, 0.0, 0.2105, 0.0667, 0.2, 0.0667, 0.0, 0.0, 0.0, 0.1818, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0263, 0.0, 0.175, 0.5714, 0.0, 0.0, 0.0]",,,0.04,ok
collins,50,0,baseline,mlp,13.0386,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.1364, 0.0769, 0.1111, 0.0, 0.1111, 0.0, 0.4211, 0.2, 0.3, 0.0, 0.0833, 0.0, 0.0, 0.0909, 0.0714, 0.375, 0.0, 0.1111, 0.125, 0.1053, 0.0, 0.3, 0.5, 0.0, 0.0714, 0.2]",,,0.15,ok
collins,50,0,baseline,rf,13.4273,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.0909, 0.0, 0.1111, 0.0, 0.2778, 0.0, 0.4211, 0.0667, 0.225, 0.0667, 0.1667, 0.0714, 0.0, 0.1818, 0.0714, 0.25, 0.0, 0.0556, 0.1667, 0.1053, 0.0667, 0.525, 0.2143, 0.0, 0.3571, 0.0]",,,0.42,ok
collins,50,0,baseline,xgboost,9.134,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.0909, 0.2308, 0.0, 0.0, 0.1111, 0.0, 0.3684, 0.0667, 0.175, 0.0, 0.0, 0.0, 0.0, 0.1364, 0.0, 0.125, 0.0, 0.0556, 0.0833, 0.1579, 0.0667, 0.35, 0.0714, 0.0, 0.2857, 0.0]",,,0.56,ok
collins,50,0,baseline,tabpfn,,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,,,,0.0,skipped: tabpfn max 10 classes
collins,50,0,smote,lr,12.9213,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02,"[0.0909, 0.0769, 0.0, 0.0, 0.2222, 0.0833, 0.5, 0.1333, 0.325, 0.0667, 0.0833, 0.0, 0.0, 0.1818, 0.0714, 0.125, 0.0, 0.1111, 0.125, 0.0789, 0.0, 0.375, 0.5, 0.0, 0.1429, 0.0667]",,,0.41,ok
collins,50,0,smote,knn,11.4005,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02,"[0.4091, 0.1538, 0.2222, 0.375, 0.2222, 0.0, 0.2105, 0.0667, 0.2, 0.0667, 0.0, 0.0, 0.0, 0.1818, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0263, 0.0, 0.175, 0.5714, 0.0, 0.0, 0.0]",,,0.03,ok
collins,50,0,smote,mlp,14.8251,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02,"[0.1818, 0.2308, 0.0, 0.0, 0.1667, 0.125, 0.3684, 0.1333, 0.325, 0.1333, 0.0833, 0.0, 0.0, 0.1364, 0.0714, 0.375, 0.0, 0.0, 0.125, 0.0526, 0.1333, 0.425, 0.5, 0.0833, 0.0714, 0.1333]",,,0.1,ok
collins,50,0,smote,rf,11.9172,42,50,485,485,26,0,"[2, 1, 1, 1, 2, 2, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 2, 4, 2, 1, 2, 1]","[22, 13, 9, 8, 18, 24, 38, 15, 40, 15, 12, 14, 15, 22, 14, 8, 8, 18, 24, 38, 15, 40, 14, 12, 14, 15]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02,"[0.0455, 0.0769, 0.0, 0.0, 0.2222, 0.0, 0.2895, 0.0, 0.175, 0.0667, 0.1667, 0.0, 0.0, 0.0909, 0.0, 0.25, 0.0, 0.0, 0.125, 0.1842, 0.1333, 0.475, 0.2143, 0.0833, 0.5, 0.0]",,,0.13,ok
