dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
energy,500,0,baseline,lr,35.2108,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5, 0.5, 0.75, 0.0909, 0.0, 0.0, 0.3478, 1.0, 0.2, 0.3333, 0.4118, 0.3333, 0.2308, 0.0, 0.8889, 0.3, 0.3333, 0.4483, 0.5, 0.4595, 0.0, 0.4706, 0.0]",,,0.73,ok
energy,500,0,baseline,knn,43.963,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.7, 0.8333, 0.9375, 0.3636, 0.0, 0.1, 0.3478, 0.9286, 0.0, 0.5714, 0.4706, 0.25, 0.2308, 0.1667, 0.8148, 0.3, 0.3333, 0.7931, 0.6364, 0.4865, 0.2, 0.6471, 0.0]",,,0.19,ok
energy,500,0,baseline,mlp,60.1313,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.9, 0.6667, 0.9375, 0.5455, 0.125, 0.5, 0.4348, 0.9643, 0.4, 0.381, 0.7647, 0.75, 0.3077, 0.3333, 0.8889, 0.7, 0.6667, 0.8621, 0.5455, 0.7568, 0.4, 1.0, 0.0]",,,0.53,ok
energy,500,0,baseline,rf,70.7824,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.0, 0.6667, 1.0, 0.9091, 0.375, 0.8, 0.5652, 1.0, 0.3, 0.3333, 0.7059, 0.8333, 0.3846, 0.8333, 0.9259, 0.8, 0.6667, 0.9655, 0.6364, 0.8378, 0.4, 0.9412, 0.4]",,,0.22,ok
energy,500,0,baseline,xgboost,69.0705,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.0, 0.8333, 1.0, 0.8182, 0.375, 0.7, 0.5217, 0.9643, 0.2, 0.3333, 0.5882, 0.75, 0.4615, 0.8333, 0.9259, 0.8, 0.8333, 0.931, 0.7273, 0.7838, 0.4, 0.7059, 0.4]",,,0.51,ok
energy,500,0,baseline,tabpfn,,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,,,,0.0,skipped: tabpfn max 10 classes
energy,500,0,smote,lr,38.4975,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",501,"[14, 10, 24, 16, 11, 13, 32, 39, 14, 32, 24, 17, 17, 9, 39, 14, 9, 42, 32, 53, 7, 26, 7]",0.04,"[0.7, 0.6667, 0.8125, 0.1818, 0.0, 0.0, 0.3913, 1.0, 0.4, 0.1905, 0.2353, 0.4167, 0.2308, 0.0, 0.8148, 0.3, 0.3333, 0.5517, 0.5909, 0.5676, 0.0, 0.4706, 0.0]",0.200599,0.295909,0.45,ok
energy,500,0,smote,knn,50.6775,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",501,"[14, 10, 24, 16, 11, 13, 32, 39, 14, 32, 24, 17, 17, 9, 39, 14, 9, 42, 32, 53, 7, 26, 7]",0.04,"[0.6, 0.6667, 0.875, 0.5455, 0.125, 0.4, 0.2174, 0.8929, 0.4, 0.4762, 0.3529, 0.5, 0.3846, 0.3333, 0.8148, 0.6, 0.3333, 0.7241, 0.6818, 0.5676, 0.4, 0.7647, 0.0]",0.200599,0.295909,0.04,ok
energy,500,0,smote,mlp,64.3813,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",501,"[14, 10, 24, 16, 11, 13, 32, 39, 14, 32, 24, 17, 17, 9, 39, 14, 9, 42, 32, 53, 7, 26, 7]",0.04,"[1.0, 0.6667, 0.9375, 0.6364, 0.125, 0.6, 0.3913, 0.9643, 0.6, 0.381, 0.5882, 0.8333, 0.3846, 0.8333, 0.8889, 0.8, 0.6667, 0.8621, 0.5, 0.7838, 0.4, 0.7647, 0.2]",0.200599,0.295909,1.17,ok
energy,500,0,smote,rf,70.0558,42,349,349,349,23,0,"[10, 7, 17, 11, 8, 9, 22, 27, 10, 22, 17, 12, 12, 6, 27, 10, 6, 29, 22, 37, 5, 18, 5]","[10, 6, 16, 11, 8, 10, 23, 28, 10, 21, 17, 12, 13, 6, 27, 10, 6, 29, 22, 37, 5, 17, 5]",501,"[14, 10, 24, 16, 11, 13, 32, 39, 14, 32, 24, 17, 17, 9, 39, 14, 9, 42, 32, 53, 7, 26, 7]",0.04,"[1.0, 0.6667, 1.0, 0.9091, 0.375, 0.7, 0.3478, 1.0, 0.5, 0.3333, 0.6471, 0.8333, 0.3846, 0.8333, 0.9259, 0.9, 0.6667, 0.9655, 0.5455, 0.8378, 0.4, 0.9412, 0.4]",0.200599,0.295909,0.18,ok
