dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
fourier,100,0,baseline,lr,66.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.92, 0.5, 0.48, 0.82, 0.76, 0.32, 0.8, 0.32, 0.76, 1.0]",,,0.9,ok
fourier,100,0,baseline,knn,58.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.92, 0.24, 0.66, 0.76, 0.74, 0.24, 0.4, 0.3, 0.58, 1.0]",,,0.01,ok
fourier,100,0,baseline,mlp,61.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.92, 0.22, 0.4, 0.76, 0.76, 0.26, 0.76, 0.38, 0.7, 0.98]",,,0.08,ok
fourier,100,0,baseline,rf,75.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.98, 0.5, 0.46, 0.92, 0.88, 0.68, 0.96, 0.36, 0.78, 1.0]",,,0.16,ok
fourier,100,0,baseline,xgboost,67.6,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.9, 0.44, 0.44, 0.8, 0.8, 0.54, 0.92, 0.44, 0.58, 0.9]",,,0.3,ok
fourier,100,0,baseline,tabpfn,75.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1.0, 0.44, 0.58, 0.94, 0.88, 0.62, 0.84, 0.42, 0.8, 1.0]",,,0.58,ok
fourier,100,0,smote,lr,65.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[0.92, 0.42, 0.46, 0.82, 0.72, 0.36, 0.78, 0.34, 0.76, 1.0]",0.64137,0.639079,0.43,ok
fourier,100,0,smote,knn,67.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[0.94, 0.36, 0.68, 0.84, 0.68, 0.46, 0.66, 0.4, 0.76, 1.0]",0.64137,0.639079,0.12,ok
fourier,100,0,smote,mlp,64.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[0.94, 0.26, 0.42, 0.9, 0.6, 0.44, 0.68, 0.38, 0.78, 1.0]",0.64137,0.639079,0.24,ok
fourier,100,0,smote,rf,75.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[1.0, 0.44, 0.44, 0.9, 0.86, 0.8, 0.9, 0.44, 0.74, 0.98]",0.64137,0.639079,0.22,ok
fourier,100,0,smote,xgboost,65.6,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[0.94, 0.5, 0.46, 0.74, 0.72, 0.68, 0.74, 0.34, 0.58, 0.86]",0.64137,0.639079,0.37,ok
fourier,100,0,smote,tabpfn,64.2,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.07,"[0.94, 0.3, 0.58, 0.56, 0.56, 0.52, 0.82, 0.48, 0.66, 1.0]",0.64137,0.639079,0.42,ok
fourier,100,0,tabebm,lr,66.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.92, 0.54, 0.4, 0.84, 0.76, 0.32, 0.8, 0.32, 0.74, 1.0]",0.981208,0.947071,0.71,ok
fourier,100,0,tabebm,knn,63.4,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.94, 0.32, 0.64, 0.8, 0.7, 0.4, 0.48, 0.38, 0.68, 1.0]",0.981208,0.947071,0.14,ok
fourier,100,0,tabebm,mlp,64.8,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[0.92, 0.28, 0.46, 0.84, 0.72, 0.36, 0.82, 0.36, 0.72, 1.0]",0.981208,0.947071,0.28,ok
fourier,100,0,tabebm,rf,76.0,42,100,500,1500,10,0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",500,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",63.36,"[1.0, 0.3, 0.62, 0.9, 0.86, 0.76, 0.94, 0.46, 0.76, 1.0]",0.981208,0.947071,0.2,ok
