=== mushroom n=100 on GPU 2 ===

============================================================
Dataset: mushroom, N_real: 100, GPUs: [2]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[2], cpu_jobs=6

[1/4] Loading dataset...
  Loaded mushroom: 8124 samples, 22 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [1/300] split=0 baseline +       lr -> 91.30% (1.0s)
  [2/300] split=0 baseline +      knn -> 92.38% (0.1s)
  [3/300] split=0 baseline +      mlp -> 94.65% (0.3s)
  [4/300] split=0 baseline +       rf -> 95.66% (0.3s)
  [5/300] split=0 baseline +  xgboost -> 94.50% (1.4s)
  [6/300] split=0 baseline +   tabpfn -> 96.89% (1.5s)
  [7/300] split=0    smote +       lr -> 90.49% (0.9s)
  [8/300] split=0    smote +      knn -> 95.27% (0.2s)
  [9/300] split=0    smote +      mlp -> 93.25% (1.6s)
  [10/300] split=0    smote +       rf -> 95.66% (0.3s)
  [11/300] split=0    smote +  xgboost -> 94.83% (2.2s)
  [12/300] split=0    smote +   tabpfn -> 95.26% (1.4s)
  [13/300] split=0   tabebm +       lr -> 91.28% (0.8s)
  [14/300] split=0   tabebm +      knn -> 95.48% (0.3s)
  [15/300] split=0   tabebm +      mlp -> 94.22% (0.9s)
  [16/300] split=0   tabebm +       rf -> 95.67% (0.2s)
  [17/300] split=0   tabebm +  xgboost -> 95.48% (0.8s)
  [18/300] split=0   tabebm +   tabpfn -> 95.46% (2.1s)
  [19/300] split=0     tvae +       lr -> 91.00% (0.8s)
  [20/300] split=0     tvae +      knn -> 92.32% (0.1s)
  [21/300] split=0     tvae +      mlp -> 93.12% (1.9s)
  [22/300] split=0     tvae +       rf -> 95.26% (0.2s)
  [23/300] split=0     tvae +  xgboost -> 97.11% (0.4s)
  [24/300] split=0     tvae +   tabpfn -> 96.29% (1.5s)
  [25/300] split=0    ctgan +       lr -> 91.30% (0.5s)
  [26/300] split=0    ctgan +      knn -> 92.38% (0.1s)
  [27/300] split=0    ctgan +      mlp -> 95.08% (0.4s)
  [28/300] split=0    ctgan +       rf -> 95.66% (0.1s)
  [29/300] split=0    ctgan +  xgboost -> 94.50% (0.1s)
  [30/300] split=0    ctgan +   tabpfn -> 96.89% (0.8s)
  [31/300] split=1 baseline +       lr -> 87.06% (0.8s)
  [32/300] split=1 baseline +      knn -> 90.85% (0.2s)
  [33/300] split=1 baseline +      mlp -> 90.02% (2.2s)
  [34/300] split=1 baseline +       rf -> 90.77% (0.2s)
  [35/300] split=1 baseline +  xgboost -> 93.16% (1.1s)
  [36/300] split=1 baseline +   tabpfn -> 93.51% (2.0s)
  [37/300] split=1    smote +       lr -> 87.77% (0.6s)
  [38/300] split=1    smote +      knn -> 93.76% (0.3s)
  [39/300] split=1    smote +      mlp -> 89.07% (2.5s)
  [40/300] split=1    smote +       rf -> 93.86% (0.2s)
  [41/300] split=1    smote +  xgboost -> 91.94% (0.3s)
  [42/300] split=1    smote +   tabpfn -> 92.30% (2.3s)
  [43/300] split=1   tabebm +       lr -> 86.68% (0.2s)
  [44/300] split=1   tabebm +      knn -> 94.17% (0.2s)
  [45/300] split=1   tabebm +      mlp -> 90.82% (0.4s)
  [46/300] split=1   tabebm +       rf -> 93.28% (0.2s)
  [47/300] split=1   tabebm +  xgboost -> 91.18% (0.1s)
