dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
mushroom,100,0,baseline,lr,91.2951,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9421, 0.8838]",,,0.95,ok
mushroom,100,0,baseline,knn,92.3757,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9305, 0.917]",,,0.1,ok
mushroom,100,0,baseline,mlp,94.6491,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9884, 0.9046]",,,0.26,ok
mushroom,100,0,baseline,rf,95.6576,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9961, 0.917]",,,0.27,ok
mushroom,100,0,baseline,xgboost,94.4993,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.973, 0.917]",,,1.36,ok
mushroom,100,0,baseline,tabpfn,96.888,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[1.0, 0.9378]",,,1.51,ok
mushroom,100,0,smote,lr,90.4941,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.9344, 0.8755]",0.730466,0.614226,0.94,ok
mushroom,100,0,smote,knn,95.2715,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.9884, 0.917]",0.730466,0.614226,0.17,ok
mushroom,100,0,smote,mlp,93.2545,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.973, 0.8921]",0.730466,0.614226,1.6,ok
mushroom,100,0,smote,rf,95.6576,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.9961, 0.917]",0.730466,0.614226,0.31,ok
mushroom,100,0,smote,xgboost,94.8277,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.9961, 0.9004]",0.730466,0.614226,2.22,ok
mushroom,100,0,smote,tabpfn,95.2571,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.2,"[0.9923, 0.9129]",0.730466,0.614226,1.41,ok
mushroom,100,0,tabebm,lr,91.2807,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9459, 0.8797]",2e-06,0.005608,0.84,ok
mushroom,100,0,tabebm,knn,95.4789,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9884, 0.9212]",2e-06,0.005608,0.26,ok
mushroom,100,0,tabebm,mlp,94.2197,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9923, 0.8921]",2e-06,0.005608,0.91,ok
mushroom,100,0,tabebm,rf,95.672,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9923, 0.9212]",2e-06,0.005608,0.22,ok
mushroom,100,0,tabebm,xgboost,95.4789,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9884, 0.9212]",2e-06,0.005608,0.78,ok
mushroom,100,0,tabebm,tabpfn,95.4645,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[250, 250]",38.41,"[0.9923, 0.917]",2e-06,0.005608,2.14,ok
mushroom,100,0,tvae,lr,90.9955,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9112, 0.9087]",0.0,3e-06,0.83,ok
mushroom,100,0,tvae,knn,92.318,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9459, 0.9004]",0.0,3e-06,0.13,ok
mushroom,100,0,tvae,mlp,93.1191,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9537, 0.9087]",0.0,3e-06,1.93,ok
mushroom,100,0,tvae,rf,95.2571,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9923, 0.9129]",0.0,3e-06,0.24,ok
mushroom,100,0,tvae,xgboost,97.1099,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9961, 0.9461]",0.0,3e-06,0.4,ok
mushroom,100,0,tvae,tabpfn,96.2944,42,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",15.96,"[0.9923, 0.9336]",0.0,3e-06,1.48,ok
mushroom,100,0,ctgan,lr,91.2951,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[0.9421, 0.8838]",,,0.52,ok
mushroom,100,0,ctgan,knn,92.3757,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[0.9305, 0.917]",,,0.12,ok
mushroom,100,0,ctgan,mlp,95.0784,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[0.9846, 0.917]",,,0.38,ok
mushroom,100,0,ctgan,rf,95.6576,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[0.9961, 0.917]",,,0.14,ok
mushroom,100,0,ctgan,xgboost,94.4993,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[0.973, 0.917]",,,0.08,ok
mushroom,100,0,ctgan,tabpfn,96.888,42,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",1.86,"[1.0, 0.9378]",,,0.83,ok
mushroom,100,1,baseline,lr,87.0624,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.8533, 0.888]",,,0.79,ok
mushroom,100,1,baseline,knn,90.8513,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9498, 0.8672]",,,0.17,ok
mushroom,100,1,baseline,mlp,90.0159,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.8958, 0.9046]",,,2.24,ok
mushroom,100,1,baseline,rf,90.7736,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9151, 0.9004]",,,0.25,ok
mushroom,100,1,baseline,xgboost,93.1567,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.888, 0.9751]",,,1.09,ok
mushroom,100,1,baseline,tabpfn,93.514,43,100,500,7624,2,0,"[52, 48]","[259, 241]",0,"[0, 0]",0.0,"[0.9035, 0.9668]",,,2.04,ok
mushroom,100,1,smote,lr,87.7714,43,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.18,"[0.8301, 0.9253]",0.626427,0.58672,0.64,ok
mushroom,100,1,smote,knn,93.7559,43,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.18,"[0.9498, 0.9253]",0.626427,0.58672,0.31,ok
mushroom,100,1,smote,mlp,89.065,43,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.18,"[0.8726, 0.9087]",0.626427,0.58672,2.46,ok
mushroom,100,1,smote,rf,93.8568,43,100,500,7624,2,0,"[52, 48]","[259, 241]",500,"[260, 240]",0.18,"[0.9228, 0.9544]",0.626427,0.58672,0.2,ok
