dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
protein,50,0,baseline,lr,67.9329,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5797, 0.4603, 0.7971, 0.7419, 0.6032, 0.7959, 0.6984, 0.7581]",,,1.01,ok
protein,50,0,baseline,knn,42.9636,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5072, 0.3016, 0.6522, 0.6452, 0.5714, 0.102, 0.2381, 0.4194]",,,0.0,ok
protein,50,0,baseline,mlp,67.1861,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6087, 0.4444, 0.6812, 0.7097, 0.6349, 0.7755, 0.7302, 0.7903]",,,0.06,ok
protein,50,0,baseline,rf,63.4749,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5797, 0.3651, 0.7826, 0.7903, 0.619, 0.4694, 0.746, 0.7258]",,,0.17,ok
protein,50,0,baseline,xgboost,61.0048,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6232, 0.3333, 0.7971, 0.5161, 0.5873, 0.6327, 0.7778, 0.6129]",,,0.2,ok
protein,50,0,baseline,tabpfn,76.159,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6812, 0.6825, 0.8261, 0.7419, 0.746, 0.5102, 0.9048, 1.0]",,,0.54,ok
protein,50,0,smote,lr,67.8447,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.5797, 0.4444, 0.7971, 0.7419, 0.6032, 0.8367, 0.6825, 0.7419]",0.678271,0.668082,0.59,ok
protein,50,0,smote,knn,65.0706,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.6232, 0.6667, 0.5942, 0.6613, 0.5556, 0.7755, 0.5873, 0.7419]",0.678271,0.668082,0.11,ok
protein,50,0,smote,mlp,64.6129,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.5942, 0.4603, 0.7246, 0.6774, 0.5714, 0.7959, 0.6032, 0.7419]",0.678271,0.668082,0.19,ok
protein,50,0,smote,rf,64.9439,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.5217, 0.3968, 0.8551, 0.6935, 0.5556, 0.6531, 0.7778, 0.7419]",0.678271,0.668082,0.15,ok
protein,50,0,smote,xgboost,62.302,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.6377, 0.4762, 0.6957, 0.5323, 0.5556, 0.6327, 0.8413, 0.6129]",0.678271,0.668082,0.28,ok
protein,50,0,smote,tabpfn,69.1483,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",0.06,"[0.5652, 0.4921, 0.6667, 0.6935, 0.6032, 0.7347, 0.8571, 0.9194]",0.678271,0.668082,0.12,ok
protein,50,0,tabebm,lr,68.8274,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.5797, 0.4762, 0.7681, 0.7419, 0.6032, 0.8163, 0.7143, 0.8065]",0.989773,0.916731,0.43,ok
protein,50,0,tabebm,knn,60.2264,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.6522, 0.6349, 0.4493, 0.6613, 0.5873, 0.551, 0.5079, 0.7742]",0.989773,0.916731,0.14,ok
protein,50,0,tabebm,mlp,67.9485,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.6087, 0.4444, 0.7101, 0.7258, 0.6349, 0.7755, 0.746, 0.7903]",0.989773,0.916731,0.2,ok
protein,50,0,tabebm,rf,66.3996,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.6087, 0.3651, 0.8841, 0.6613, 0.6032, 0.6531, 0.7302, 0.8065]",0.989773,0.916731,0.17,ok
protein,50,0,tabebm,xgboost,62.1105,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.5507, 0.3333, 0.7826, 0.5323, 0.6032, 0.6939, 0.6825, 0.7903]",0.989773,0.916731,0.28,ok
protein,50,0,tabebm,tabpfn,69.8122,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",496,"[62, 62, 62, 62, 62, 62, 62, 62]",45.97,"[0.6087, 0.4127, 0.7536, 0.7581, 0.6825, 0.5918, 0.7937, 0.9839]",0.989773,0.916731,0.13,ok
protein,50,0,tvae,lr,64.6144,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.5507, 0.381, 0.7246, 0.7581, 0.619, 0.7755, 0.6667, 0.6935]",0.108281,0.185265,0.71,ok
protein,50,0,tvae,knn,58.6862,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.5507, 0.3651, 0.6087, 0.629, 0.6508, 0.6735, 0.5397, 0.6774]",0.108281,0.185265,0.14,ok
protein,50,0,tvae,mlp,61.0911,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.5942, 0.3492, 0.5797, 0.6452, 0.6032, 0.7551, 0.6349, 0.7258]",0.108281,0.185265,0.24,ok
protein,50,0,tvae,rf,63.4878,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.5362, 0.2698, 0.942, 0.6774, 0.5238, 0.6735, 0.7143, 0.7419]",0.108281,0.185265,0.24,ok
protein,50,0,tvae,xgboost,58.6014,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.4928, 0.2381, 0.6957, 0.4839, 0.4444, 0.6531, 0.8254, 0.8548]",0.108281,0.185265,0.3,ok
protein,50,0,tvae,tabpfn,70.774,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",500,"[70, 60, 70, 70, 60, 50, 60, 60]",160.6,"[0.6087, 0.5397, 0.7391, 0.7742, 0.5873, 0.7959, 0.746, 0.871]",0.108281,0.185265,0.16,ok
protein,50,0,ctgan,lr,67.9329,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",3.57,"[0.5797, 0.4603, 0.7971, 0.7419, 0.6032, 0.7959, 0.6984, 0.7581]",,,0.64,ok
protein,50,0,ctgan,knn,42.9636,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",3.57,"[0.5072, 0.3016, 0.6522, 0.6452, 0.5714, 0.102, 0.2381, 0.4194]",,,0.09,ok
protein,50,0,ctgan,mlp,62.6709,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",3.57,"[0.5797, 0.4127, 0.6377, 0.7258, 0.5873, 0.6939, 0.6508, 0.7258]",,,0.08,ok
protein,50,0,ctgan,rf,64.6245,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",3.57,"[0.5797, 0.4603, 0.8696, 0.6935, 0.5556, 0.5714, 0.7302, 0.7097]",,,0.26,ok
protein,50,0,ctgan,xgboost,61.0048,42,50,500,580,8,0,"[7, 6, 7, 7, 6, 5, 6, 6]","[69, 63, 69, 62, 63, 49, 63, 62]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",3.57,"[0.6232, 0.3333, 0.7971, 0.5161, 0.5873, 0.6327, 0.7778, 0.6129]",,,0.19,ok
