=== statlog n=100 on GPU 1 ===

============================================================
Dataset: statlog, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded statlog: 1000 samples, 20 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [1/300] split=0 baseline +       lr -> 62.52% (0.8s)
  [2/300] split=0 baseline +      knn -> 61.48% (0.1s)
  [3/300] split=0 baseline +      mlp -> 63.62% (0.1s)
  [4/300] split=0 baseline +       rf -> 62.90% (0.3s)
  [5/300] split=0 baseline +  xgboost -> 65.33% (0.3s)
  [6/300] split=0 baseline +   tabpfn -> 57.38% (1.4s)
  [7/300] split=0    smote +       lr -> 66.38% (0.9s)
  [8/300] split=0    smote +      knn -> 61.33% (0.1s)
  [9/300] split=0    smote +      mlp -> 64.10% (0.3s)
  [10/300] split=0    smote +       rf -> 64.29% (0.2s)
  [11/300] split=0    smote +  xgboost -> 67.24% (0.1s)
  [12/300] split=0    smote +   tabpfn -> 65.38% (0.6s)
  [13/300] split=0   tabebm +       lr -> 67.62% (0.7s)
  [14/300] split=0   tabebm +      knn -> 60.29% (0.1s)
  [15/300] split=0   tabebm +      mlp -> 64.00% (0.4s)
  [16/300] split=0   tabebm +       rf -> 63.24% (0.2s)
  [17/300] split=0   tabebm +  xgboost -> 67.05% (0.1s)
  [18/300] split=0   tabebm +   tabpfn -> 57.24% (0.7s)
  [19/300] split=0     tvae +       lr -> 65.86% (0.7s)
  [20/300] split=0     tvae +      knn -> 64.29% (0.2s)
  [21/300] split=0     tvae +      mlp -> 60.67% (0.5s)
  [22/300] split=0     tvae +       rf -> 62.76% (0.2s)
  [23/300] split=0     tvae +  xgboost -> 63.43% (0.1s)
  [24/300] split=0     tvae +   tabpfn -> 64.71% (0.4s)
  [25/300] split=0    ctgan +       lr -> 63.05% (0.6s)
  [26/300] split=0    ctgan +      knn -> 62.62% (0.2s)
  [27/300] split=0    ctgan +      mlp -> 61.90% (0.5s)
  [28/300] split=0    ctgan +       rf -> 65.67% (0.2s)
  [29/300] split=0    ctgan +  xgboost -> 63.95% (0.1s)
  [30/300] split=0    ctgan +   tabpfn -> 64.81% (0.7s)
  [31/300] split=1 baseline +       lr -> 60.19% (0.6s)
  [32/300] split=1 baseline +      knn -> 58.43% (0.1s)
  [33/300] split=1 baseline +      mlp -> 62.81% (0.2s)
  [34/300] split=1 baseline +       rf -> 63.81% (0.2s)
  [35/300] split=1 baseline +  xgboost -> 61.14% (0.1s)
  [36/300] split=1 baseline +   tabpfn -> 50.00% (0.1s)
  [37/300] split=1    smote +       lr -> 64.10% (0.1s)
  [38/300] split=1    smote +      knn -> 61.67% (0.1s)
  [39/300] split=1    smote +      mlp -> 62.95% (0.3s)
  [40/300] split=1    smote +       rf -> 59.81% (0.2s)
  [41/300] split=1    smote +  xgboost -> 62.86% (0.1s)
  [42/300] split=1    smote +   tabpfn -> 64.14% (0.7s)
  [43/300] split=1   tabebm +       lr -> 63.81% (0.1s)
  [44/300] split=1   tabebm +      knn -> 60.57% (0.1s)
  [45/300] split=1   tabebm +      mlp -> 62.95% (0.4s)
  [46/300] split=1   tabebm +       rf -> 64.14% (0.2s)
  [47/300] split=1   tabebm +  xgboost -> 61.86% (0.1s)
  [48/300] split=1   tabebm +   tabpfn -> 60.19% (0.2s)
