dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
statlog,100,0,baseline,lr,62.5238,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4733, 0.7771]",,,0.85,ok
statlog,100,0,baseline,knn,61.4762,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.3467, 0.8829]",,,0.09,ok
statlog,100,0,baseline,mlp,63.619,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4667, 0.8057]",,,0.13,ok
statlog,100,0,baseline,rf,62.9048,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.3467, 0.9114]",,,0.29,ok
statlog,100,0,baseline,xgboost,65.3333,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4667, 0.84]",,,0.27,ok
statlog,100,0,baseline,tabpfn,57.381,42,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.2133, 0.9343]",,,1.35,ok
statlog,100,0,smote,lr,66.381,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.6133, 0.7143]",0.05222,0.217275,0.89,ok
statlog,100,0,smote,knn,61.3333,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.4867, 0.74]",0.05222,0.217275,0.13,ok
statlog,100,0,smote,mlp,64.0952,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.5133, 0.7686]",0.05222,0.217275,0.31,ok
statlog,100,0,smote,rf,64.2857,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.42, 0.8657]",0.05222,0.217275,0.18,ok
statlog,100,0,smote,xgboost,67.2381,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.5333, 0.8114]",0.05222,0.217275,0.1,ok
statlog,100,0,smote,tabpfn,65.381,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.02,"[0.5133, 0.7943]",0.05222,0.217275,0.6,ok
statlog,100,0,tabebm,lr,67.619,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.7067, 0.6457]",1e-06,0.052713,0.74,ok
statlog,100,0,tabebm,knn,60.2857,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.52, 0.6857]",1e-06,0.052713,0.13,ok
statlog,100,0,tabebm,mlp,64.0,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.52, 0.76]",1e-06,0.052713,0.42,ok
statlog,100,0,tabebm,rf,63.2381,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.4133, 0.8514]",1e-06,0.052713,0.18,ok
statlog,100,0,tabebm,xgboost,67.0476,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.5267, 0.8143]",1e-06,0.052713,0.11,ok
statlog,100,0,tabebm,tabpfn,57.2381,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",36.11,"[0.2733, 0.8714]",1e-06,0.052713,0.72,ok
statlog,100,0,tvae,lr,65.8571,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.52, 0.7971]",0.0,0.001397,0.73,ok
statlog,100,0,tvae,knn,64.2857,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.46, 0.8257]",0.0,0.001397,0.15,ok
statlog,100,0,tvae,mlp,60.6667,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.4133, 0.8]",0.0,0.001397,0.5,ok
statlog,100,0,tvae,rf,62.7619,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.4067, 0.8486]",0.0,0.001397,0.19,ok
statlog,100,0,tvae,xgboost,63.4286,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.42, 0.8486]",0.0,0.001397,0.1,ok
statlog,100,0,tvae,tabpfn,64.7143,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",21.93,"[0.4, 0.8943]",0.0,0.001397,0.4,ok
statlog,100,0,ctgan,lr,63.0476,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.5867, 0.6743]",0.0,0.003306,0.59,ok
statlog,100,0,ctgan,knn,62.619,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.4667, 0.7857]",0.0,0.003306,0.16,ok
statlog,100,0,ctgan,mlp,61.9048,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.5467, 0.6914]",0.0,0.003306,0.53,ok
statlog,100,0,ctgan,rf,65.6667,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.4733, 0.84]",0.0,0.003306,0.18,ok
statlog,100,0,ctgan,xgboost,63.9524,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.4533, 0.8257]",0.0,0.003306,0.08,ok
statlog,100,0,ctgan,tabpfn,64.8095,42,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.48,"[0.4333, 0.8629]",0.0,0.003306,0.71,ok
statlog,100,1,baseline,lr,60.1905,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4267, 0.7771]",,,0.62,ok
statlog,100,1,baseline,knn,58.4286,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.34, 0.8286]",,,0.1,ok
statlog,100,1,baseline,mlp,62.8095,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4733, 0.7829]",,,0.15,ok
statlog,100,1,baseline,rf,63.8095,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.3733, 0.9029]",,,0.19,ok
statlog,100,1,baseline,xgboost,61.1429,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.44, 0.7829]",,,0.08,ok
statlog,100,1,baseline,tabpfn,50.0,43,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.0, 1.0]",,,0.14,ok
statlog,100,1,smote,lr,64.0952,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.5133, 0.7686]",0.045511,0.232551,0.12,ok
statlog,100,1,smote,knn,61.6667,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.4733, 0.76]",0.045511,0.232551,0.13,ok
statlog,100,1,smote,mlp,62.9524,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.4733, 0.7857]",0.045511,0.232551,0.32,ok
statlog,100,1,smote,rf,59.8095,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.2933, 0.9029]",0.045511,0.232551,0.22,ok
statlog,100,1,smote,xgboost,62.8571,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.46, 0.7971]",0.045511,0.232551,0.09,ok
statlog,100,1,smote,tabpfn,64.1429,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.5, 0.7829]",0.045511,0.232551,0.69,ok
statlog,100,1,tabebm,lr,63.8095,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.5933, 0.6829]",3e-06,0.07728,0.1,ok
statlog,100,1,tabebm,knn,60.5714,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.52, 0.6914]",3e-06,0.07728,0.14,ok
statlog,100,1,tabebm,mlp,62.9524,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.5133, 0.7457]",3e-06,0.07728,0.37,ok
statlog,100,1,tabebm,rf,64.1429,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.44, 0.8429]",3e-06,0.07728,0.21,ok
statlog,100,1,tabebm,xgboost,61.8571,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.48, 0.7571]",3e-06,0.07728,0.09,ok
statlog,100,1,tabebm,tabpfn,60.1905,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.84,"[0.3267, 0.8771]",3e-06,0.07728,0.2,ok
statlog,100,1,tvae,lr,65.0,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.58, 0.72]",2e-06,7.1e-05,0.09,ok
statlog,100,1,tvae,knn,66.3333,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.5667, 0.76]",2e-06,7.1e-05,0.14,ok
statlog,100,1,tvae,mlp,63.4286,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.5, 0.7686]",2e-06,7.1e-05,0.49,ok
statlog,100,1,tvae,rf,62.3333,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.4067, 0.84]",2e-06,7.1e-05,0.17,ok
statlog,100,1,tvae,xgboost,64.9048,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.5067, 0.7914]",2e-06,7.1e-05,0.08,ok
statlog,100,1,tvae,tabpfn,62.7619,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",22.16,"[0.4267, 0.8286]",2e-06,7.1e-05,0.7,ok
statlog,100,1,ctgan,lr,60.0952,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.3533, 0.8486]",0.0,0.000843,0.1,ok
statlog,100,1,ctgan,knn,56.4286,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.24, 0.8886]",0.0,0.000843,0.15,ok
statlog,100,1,ctgan,mlp,57.2857,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.36, 0.7857]",0.0,0.000843,0.99,ok
statlog,100,1,ctgan,rf,56.2857,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.22, 0.9057]",0.0,0.000843,0.2,ok
statlog,100,1,ctgan,xgboost,63.1905,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.4067, 0.8571]",0.0,0.000843,0.09,ok
statlog,100,1,ctgan,tabpfn,58.0,43,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",32.01,"[0.28, 0.88]",0.0,0.000843,0.73,ok
statlog,100,2,baseline,lr,61.1429,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4, 0.8229]",,,0.01,ok
statlog,100,2,baseline,knn,54.4762,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.1867, 0.9029]",,,0.12,ok
statlog,100,2,baseline,mlp,63.6667,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.4533, 0.82]",,,0.11,ok
statlog,100,2,baseline,rf,61.2381,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.3533, 0.8714]",,,0.13,ok
statlog,100,2,baseline,xgboost,61.2857,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.46, 0.7657]",,,0.06,ok
statlog,100,2,baseline,tabpfn,62.5238,44,100,500,500,2,0,"[30, 70]","[150, 350]",0,"[0, 0]",0.0,"[0.3733, 0.8771]",,,0.7,ok
statlog,100,2,smote,lr,64.0476,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.5067, 0.7743]",0.104547,0.263206,0.15,ok
statlog,100,2,smote,knn,61.619,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.4267, 0.8057]",0.104547,0.263206,0.12,ok
statlog,100,2,smote,mlp,62.0,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.42, 0.82]",0.104547,0.263206,0.59,ok
statlog,100,2,smote,rf,60.0952,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.4333, 0.7686]",0.104547,0.263206,0.19,ok
statlog,100,2,smote,xgboost,63.0952,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.5133, 0.7486]",0.104547,0.263206,0.09,ok
statlog,100,2,smote,tabpfn,63.2857,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[150, 350]",0.04,"[0.54, 0.7257]",0.104547,0.263206,0.71,ok
statlog,100,2,tabebm,lr,66.619,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.6467, 0.6857]",1e-06,0.074822,0.08,ok
statlog,100,2,tabebm,knn,63.4762,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.4667, 0.8029]",1e-06,0.074822,0.15,ok
statlog,100,2,tabebm,mlp,64.1429,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.52, 0.7629]",1e-06,0.074822,0.45,ok
statlog,100,2,tabebm,rf,61.3333,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.4267, 0.8]",1e-06,0.074822,0.21,ok
statlog,100,2,tabebm,xgboost,62.8571,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.5, 0.7571]",1e-06,0.074822,0.09,ok
statlog,100,2,tabebm,tabpfn,58.2381,44,100,500,500,2,0,"[30, 70]","[150, 350]",500,"[250, 250]",35.57,"[0.3133, 0.8514]",1e-06,0.074822,0.16,ok
