dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
steel,20,0,baseline,lr,70.1994,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[0.9358, 0.4682]",,,0.92,ok
steel,20,0,baseline,knn,68.064,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[0.737, 0.6243]",,,0.07,ok
steel,20,0,baseline,mlp,71.8831,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[0.9174, 0.5202]",,,0.05,ok
steel,20,0,baseline,rf,60.8315,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[0.945, 0.2717]",,,0.46,ok
steel,20,0,baseline,xgboost,60.8015,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[0.8287, 0.3873]",,,0.33,ok
steel,20,0,baseline,tabpfn,61.2717,42,20,500,1441,2,0,"[13, 7]","[327, 173]",0,"[0, 0]",0.0,"[1.0, 0.2254]",,,2.06,ok
steel,20,0,smote,lr,74.1785,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.9113, 0.5723]",0.59659,0.592928,0.7,ok
steel,20,0,smote,knn,77.2737,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.8807, 0.6647]",0.59659,0.592928,0.24,ok
steel,20,0,smote,mlp,73.923,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.9235, 0.5549]",0.59659,0.592928,0.66,ok
steel,20,0,smote,rf,66.5297,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.8624, 0.4682]",0.59659,0.592928,0.28,ok
steel,20,0,smote,xgboost,65.2225,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.8073, 0.4971]",0.59659,0.592928,0.19,ok
steel,20,0,smote,tabpfn,75.8472,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",0.1,"[0.8349, 0.6821]",0.59659,0.592928,1.25,ok
steel,20,0,tabebm,lr,74.7061,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.893, 0.6012]",0.509753,0.511365,0.89,ok
steel,20,0,tabebm,knn,81.0327,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.8287, 0.7919]",0.509753,0.511365,0.13,ok
steel,20,0,tabebm,mlp,69.3845,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.9021, 0.4855]",0.509753,0.511365,0.38,ok
steel,20,0,tabebm,rf,63.757,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.9052, 0.3699]",0.509753,0.511365,0.42,ok
steel,20,0,tabebm,xgboost,66.3971,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.7615, 0.5665]",0.509753,0.511365,0.99,ok
steel,20,0,tabebm,tabpfn,78.6498,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[250, 250]",37.91,"[0.9083, 0.6647]",0.509753,0.511365,1.34,ok
steel,20,0,tvae,lr,60.5275,42,20,500,1441,2,0,"[13, 7]","[327, 173]",500,"[325, 175]",27.97,"[0.8869, 0.3237]",0.077399,0.100789,0.87,ok
