dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
stock,100,0,baseline,lr,87.3794,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8009, 0.9467]",,,0.66,ok
stock,100,0,baseline,knn,84.6897,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.7143, 0.9795]",,,0.06,ok
stock,100,0,baseline,mlp,90.6146,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8615, 0.9508]",,,0.17,ok
stock,100,0,baseline,rf,90.6722,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8831, 0.9303]",,,0.29,ok
stock,100,0,baseline,xgboost,92.1182,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8874, 0.9549]",,,0.23,ok
stock,100,0,baseline,tabpfn,90.7645,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9177, 0.8975]",,,1.52,ok
stock,100,0,smote,lr,87.0156,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.8182, 0.9221]",0.987788,0.938582,0.62,ok
stock,100,0,smote,knn,90.6492,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.8745, 0.9385]",0.987788,0.938582,0.04,ok
stock,100,0,smote,mlp,91.9709,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9091, 0.9303]",0.987788,0.938582,2.12,ok
stock,100,0,smote,rf,90.0601,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.961, 0.8402]",0.987788,0.938582,0.17,ok
stock,100,0,smote,xgboost,88.773,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9394, 0.8361]",0.987788,0.938582,0.07,ok
stock,100,0,smote,tabpfn,88.3631,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9394, 0.8279]",0.987788,0.938582,0.73,ok
stock,100,0,tabebm,lr,85.7631,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8095, 0.9057]",0.948087,0.912443,0.63,ok
stock,100,0,tabebm,knn,91.0244,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8615, 0.959]",0.948087,0.912443,0.06,ok
stock,100,0,tabebm,mlp,91.7199,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8918, 0.9426]",0.948087,0.912443,1.27,ok
stock,100,0,tabebm,rf,90.2278,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8701, 0.9344]",0.948087,0.912443,0.17,ok
stock,100,0,tabebm,xgboost,92.7214,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8831, 0.9713]",0.948087,0.912443,0.08,ok
stock,100,0,tabebm,tabpfn,91.0936,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",38.0,"[0.8874, 0.9344]",0.948087,0.912443,0.78,ok
stock,100,0,tvae,lr,83.1772,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.7619, 0.9016]",0.201594,0.214177,0.7,ok
stock,100,0,tvae,knn,85.8181,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.7532, 0.9631]",0.201594,0.214177,0.04,ok
stock,100,0,tvae,mlp,86.6608,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.7619, 0.9713]",0.201594,0.214177,1.24,ok
stock,100,0,tvae,rf,88.8368,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.8095, 0.9672]",0.201594,0.214177,0.21,ok
stock,100,0,tvae,xgboost,88.8138,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.8009, 0.9754]",0.201594,0.214177,0.24,ok
stock,100,0,tvae,tabpfn,88.0056,42,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",12.61,"[0.8052, 0.9549]",0.201594,0.214177,0.99,ok
stock,100,0,ctgan,lr,87.3794,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8009, 0.9467]",,,0.56,ok
stock,100,0,ctgan,knn,84.6897,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.7143, 0.9795]",,,0.03,ok
stock,100,0,ctgan,mlp,91.4688,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8745, 0.9549]",,,0.86,ok
stock,100,0,ctgan,rf,91.6072,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9264, 0.9057]",,,0.22,ok
stock,100,0,ctgan,xgboost,92.1182,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8874, 0.9549]",,,0.14,ok
stock,100,0,ctgan,tabpfn,90.7645,42,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9177, 0.8975]",,,0.91,ok
stock,100,1,baseline,lr,83.6678,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.7922, 0.8811]",,,0.74,ok
stock,100,1,baseline,knn,91.6161,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8528, 0.9795]",,,0.04,ok
stock,100,1,baseline,mlp,93.8613,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9264, 0.9508]",,,0.2,ok
stock,100,1,baseline,rf,92.1067,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8831, 0.959]",,,0.18,ok
stock,100,1,baseline,xgboost,91.9479,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9004, 0.9385]",,,0.1,ok
stock,100,1,baseline,tabpfn,93.0301,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9221, 0.9385]",,,0.92,ok
stock,100,1,smote,lr,86.8223,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.8225, 0.9139]",0.893277,0.876142,0.08,ok
stock,100,1,smote,knn,93.2235,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9177, 0.9467]",0.893277,0.876142,0.03,ok
stock,100,1,smote,mlp,94.0662,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9264, 0.9549]",0.893277,0.876142,2.11,ok
stock,100,1,smote,rf,94.3058,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9394, 0.9467]",0.893277,0.876142,0.16,ok
stock,100,1,smote,xgboost,92.4038,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9177, 0.9303]",0.893277,0.876142,0.08,ok
stock,100,1,smote,tabpfn,94.4991,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9351, 0.9549]",0.893277,0.876142,0.71,ok
stock,100,1,tabebm,lr,86.4009,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.8182, 0.9098]",0.981208,0.917135,0.02,ok
stock,100,1,tabebm,knn,91.1167,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.8961, 0.9262]",0.981208,0.917135,0.03,ok
stock,100,1,tabebm,mlp,93.8613,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.9264, 0.9508]",0.981208,0.917135,3.37,ok
stock,100,1,tabebm,rf,92.0055,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.9221, 0.918]",0.981208,0.917135,0.15,ok
stock,100,1,tabebm,xgboost,90.5019,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.8961, 0.9139]",0.981208,0.917135,0.08,ok
stock,100,1,tabebm,tabpfn,92.2451,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[250, 250]",36.76,"[0.9351, 0.9098]",0.981208,0.917135,0.94,ok
stock,100,1,tvae,lr,77.7917,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.7403, 0.8156]",0.235049,0.273187,0.02,ok
stock,100,1,tvae,knn,91.6392,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.8615, 0.9713]",0.235049,0.273187,0.02,ok
stock,100,1,tvae,mlp,92.9609,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.8961, 0.9631]",0.235049,0.273187,1.72,ok
stock,100,1,tvae,rf,91.4342,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.8615, 0.9672]",0.235049,0.273187,0.18,ok
stock,100,1,tvae,xgboost,89.59,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.8615, 0.9303]",0.235049,0.273187,0.09,ok
stock,100,1,tvae,tabpfn,93.6218,43,100,475,475,2,0,"[49, 51]","[231, 244]",500,"[245, 255]",5.14,"[0.9134, 0.959]",0.235049,0.273187,0.7,ok
stock,100,1,ctgan,lr,83.6678,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.7922, 0.8811]",,,0.01,ok
stock,100,1,ctgan,knn,91.6161,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8528, 0.9795]",,,0.02,ok
stock,100,1,ctgan,mlp,93.6564,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9264, 0.9467]",,,0.17,ok
stock,100,1,ctgan,rf,92.1528,43,100,475,475,2,0,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9004, 0.9426]",,,0.14,ok
