=== support2 n=100 on GPU 1 ===

============================================================
Dataset: support2, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded support2: 1470 samples, 33 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [1/300] split=0 baseline +       lr -> 78.16% (1.2s)
  [2/300] split=0 baseline +      knn -> 55.25% (0.2s)
  [3/300] split=0 baseline +      mlp -> 61.33% (1.0s)
  [4/300] split=0 baseline +       rf -> 91.56% (0.3s)
  [5/300] split=0 baseline +  xgboost -> 100.00% (0.4s)
  [6/300] split=0 baseline +   tabpfn -> 100.00% (2.4s)
  [7/300] split=0    smote +       lr -> 85.71% (1.4s)
  [8/300] split=0    smote +      knn -> 69.95% (0.2s)
  [9/300] split=0    smote +      mlp -> 61.10% (2.2s)
  [10/300] split=0    smote +       rf -> 100.00% (0.4s)
  [11/300] split=0    smote +  xgboost -> 100.00% (1.2s)
  [12/300] split=0    smote +   tabpfn -> 91.50% (2.2s)
  [13/300] split=0   tabebm +       lr -> 87.31% (1.5s)
  [14/300] split=0   tabebm +      knn -> 68.53% (0.3s)
  [15/300] split=0   tabebm +      mlp -> 67.29% (3.5s)
  [16/300] split=0   tabebm +       rf -> 90.91% (0.3s)
  [17/300] split=0   tabebm +  xgboost -> 100.00% (0.7s)
  [18/300] split=0   tabebm +   tabpfn -> 71.43% (1.0s)
  [19/300] split=0     tvae +       lr -> 86.01% (1.5s)
  [20/300] split=0     tvae +      knn -> 74.14% (0.2s)
  [21/300] split=0     tvae +      mlp -> 71.60% (2.4s)
  [22/300] split=0     tvae +       rf -> 99.35% (0.3s)
  [23/300] split=0     tvae +  xgboost -> 100.00% (1.4s)
  [24/300] split=0     tvae +   tabpfn -> 85.71% (2.2s)
  [25/300] split=0    ctgan +       lr -> 78.16% (1.0s)
  [26/300] split=0    ctgan +      knn -> 55.25% (0.1s)
  [27/300] split=0    ctgan +      mlp -> 66.65% (2.9s)
  [28/300] split=0    ctgan +       rf -> 96.75% (0.3s)
  [29/300] split=0    ctgan +  xgboost -> 100.00% (3.4s)
  [30/300] split=0    ctgan +   tabpfn -> 100.00% (1.5s)
  [31/300] split=1 baseline +       lr -> 82.47% (0.5s)
  [32/300] split=1 baseline +      knn -> 53.90% (0.1s)
  [33/300] split=1 baseline +      mlp -> 67.94% (2.5s)
  [34/300] split=1 baseline +       rf -> 90.91% (0.2s)
  [35/300] split=1 baseline +  xgboost -> 100.00% (0.3s)
  [36/300] split=1 baseline +   tabpfn -> 100.00% (1.1s)
  [37/300] split=1    smote +       lr -> 83.94% (0.3s)
  [38/300] split=1    smote +      knn -> 69.00% (0.2s)
  [39/300] split=1    smote +      mlp -> 70.78% (1.4s)
  [40/300] split=1    smote +       rf -> 98.70% (0.3s)
  [41/300] split=1    smote +  xgboost -> 100.00% (0.5s)
  [42/300] split=1    smote +   tabpfn -> 93.74% (0.8s)
  [43/300] split=1   tabebm +       lr -> 85.95% (0.1s)
  [44/300] split=1   tabebm +      knn -> 66.29% (0.1s)
  [45/300] split=1   tabebm +      mlp -> 76.62% (0.3s)
  [46/300] split=1   tabebm +       rf -> 94.81% (0.2s)
  [47/300] split=1   tabebm +  xgboost -> 100.00% (0.1s)
  [48/300] split=1   tabebm +   tabpfn -> 75.97% (0.7s)
