dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
support2,100,0,baseline,lr,78.1569,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9787, 0.5844]",,,1.2,ok
support2,100,0,baseline,knn,55.2531,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9882, 0.1169]",,,0.19,ok
support2,100,0,baseline,mlp,61.3322,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9669, 0.2597]",,,0.99,ok
support2,100,0,baseline,rf,91.5584,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 0.8312]",,,0.27,ok
support2,100,0,baseline,xgboost,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,0.42,ok
support2,100,0,baseline,tabpfn,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,2.39,ok
support2,100,0,smote,lr,85.7128,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[0.974, 0.7403]",0.058954,0.228865,1.37,ok
support2,100,0,smote,knn,69.9487,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[0.9314, 0.4675]",0.058954,0.228865,0.19,ok
support2,100,0,smote,mlp,61.0958,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[0.9622, 0.2597]",0.058954,0.228865,2.2,ok
support2,100,0,smote,rf,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[1.0, 1.0]",0.058954,0.228865,0.37,ok
support2,100,0,smote,xgboost,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[1.0, 1.0]",0.058954,0.228865,1.17,ok
support2,100,0,smote,tabpfn,91.4986,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.17,"[0.9858, 0.8442]",0.058954,0.228865,2.19,ok
support2,100,0,tabebm,lr,87.3062,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[0.9669, 0.7792]",0.000972,0.12101,1.51,ok
support2,100,0,tabebm,knn,68.5303,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[0.9031, 0.4675]",0.000972,0.12101,0.28,ok
support2,100,0,tabebm,mlp,67.293,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[0.9433, 0.4026]",0.000972,0.12101,3.45,ok
support2,100,0,tabebm,rf,90.9091,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[1.0, 0.8182]",0.000972,0.12101,0.33,ok
support2,100,0,tabebm,xgboost,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[1.0, 1.0]",0.000972,0.12101,0.66,ok
support2,100,0,tabebm,tabpfn,71.4286,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.87,"[1.0, 0.4286]",0.000972,0.12101,1.04,ok
support2,100,0,tvae,lr,86.0075,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[0.9669, 0.7532]",1e-06,0.02756,1.51,ok
support2,100,0,tvae,knn,74.138,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[0.8983, 0.5844]",1e-06,0.02756,0.24,ok
support2,100,0,tvae,mlp,71.602,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[0.9385, 0.4935]",1e-06,0.02756,2.42,ok
support2,100,0,tvae,rf,99.3506,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[1.0, 0.987]",1e-06,0.02756,0.27,ok
support2,100,0,tvae,xgboost,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[1.0, 1.0]",1e-06,0.02756,1.38,ok
support2,100,0,tvae,tabpfn,85.7143,42,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",20.83,"[1.0, 0.7143]",1e-06,0.02756,2.2,ok
support2,100,0,ctgan,lr,78.1569,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9787, 0.5844]",,,1.05,ok
support2,100,0,ctgan,knn,55.2531,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9882, 0.1169]",,,0.12,ok
support2,100,0,ctgan,mlp,66.6452,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9693, 0.3636]",,,2.93,ok
support2,100,0,ctgan,rf,96.7532,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 0.9351]",,,0.28,ok
support2,100,0,ctgan,xgboost,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,3.39,ok
support2,100,0,ctgan,tabpfn,100.0,42,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,1.48,ok
support2,100,1,baseline,lr,82.466,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.974, 0.6753]",,,0.55,ok
support2,100,1,baseline,knn,53.8961,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 0.0779]",,,0.14,ok
support2,100,1,baseline,mlp,67.9439,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[0.9693, 0.3896]",,,2.51,ok
support2,100,1,baseline,rf,90.9091,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 0.8182]",,,0.19,ok
support2,100,1,baseline,xgboost,100.0,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,0.27,ok
support2,100,1,baseline,tabpfn,100.0,43,100,500,970,2,0,"[85, 15]","[423, 77]",0,"[0, 0]",0.0,"[1.0, 1.0]",,,1.12,ok
support2,100,1,smote,lr,83.9412,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[0.9645, 0.7143]",0.058954,0.193923,0.31,ok
support2,100,1,smote,knn,69.0046,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[0.9385, 0.4416]",0.058954,0.193923,0.22,ok
support2,100,1,smote,mlp,70.7777,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[0.974, 0.4416]",0.058954,0.193923,1.36,ok
support2,100,1,smote,rf,98.7013,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[1.0, 0.974]",0.058954,0.193923,0.28,ok
support2,100,1,smote,xgboost,100.0,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[1.0, 1.0]",0.058954,0.193923,0.52,ok
support2,100,1,smote,tabpfn,93.7414,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",0.11,"[0.9787, 0.8961]",0.058954,0.193923,0.81,ok
support2,100,1,tabebm,lr,85.9476,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[0.9527, 0.7662]",0.000293,0.135531,0.13,ok
support2,100,1,tabebm,knn,66.2875,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[0.9102, 0.4156]",0.000293,0.135531,0.13,ok
support2,100,1,tabebm,mlp,76.6203,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[0.948, 0.5844]",0.000293,0.135531,0.29,ok
support2,100,1,tabebm,rf,94.8052,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[1.0, 0.8961]",0.000293,0.135531,0.18,ok
support2,100,1,tabebm,xgboost,100.0,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[1.0, 1.0]",0.000293,0.135531,0.08,ok
support2,100,1,tabebm,tabpfn,75.974,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[250, 250]",38.86,"[1.0, 0.5195]",0.000293,0.135531,0.73,ok
support2,100,1,tvae,lr,84.0594,43,100,500,970,2,0,"[85, 15]","[423, 77]",500,"[425, 75]",16.22,"[0.9669, 0.7143]",1e-05,0.009832,0.59,ok
