dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,n_classes_in_split,n_test_excluded,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
texture,50,0,baseline,lr,87.3342,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6, 0.8222, 0.8889, 1.0, 1.0, 0.7111, 0.8261, 0.8913, 0.9783, 0.8889, 1.0]",,,0.7,ok
texture,50,0,baseline,knn,76.3944,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6, 0.6667, 0.7333, 1.0, 1.0, 0.5778, 0.6304, 0.413, 0.8043, 0.9778, 1.0]",,,0.04,ok
texture,50,0,baseline,mlp,89.148,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.6222, 0.8667, 0.9111, 1.0, 0.9348, 0.7111, 0.8696, 0.913, 1.0, 0.9778, 1.0]",,,0.12,ok
texture,50,0,baseline,rf,75.762,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5556, 0.5778, 0.7333, 0.9565, 0.9783, 0.5556, 0.4565, 0.6304, 0.9565, 0.9333, 1.0]",,,0.45,ok
texture,50,0,baseline,xgboost,67.1805,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0.5333, 0.4222, 0.7111, 0.7826, 0.8043, 0.5333, 0.4565, 0.4565, 0.9565, 0.7778, 0.9556]",,,0.35,ok
texture,50,0,baseline,tabpfn,,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,,,,0.0,skipped: tabpfn max 10 classes
texture,50,0,smote,lr,88.1467,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",500,"[50, 50, 50, 40, 40, 50, 40, 40, 40, 50, 50]",0.03,"[0.6667, 0.8222, 0.8889, 1.0, 1.0, 0.7556, 0.8043, 0.8913, 0.9783, 0.8889, 1.0]",0.987799,0.945119,0.66,ok
texture,50,0,smote,knn,84.7343,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",500,"[50, 50, 50, 40, 40, 50, 40, 40, 40, 50, 50]",0.03,"[0.5556, 0.7778, 0.8222, 1.0, 1.0, 0.6444, 0.8043, 0.7826, 0.9783, 0.9556, 1.0]",0.987799,0.945119,0.09,ok
texture,50,0,smote,mlp,89.9517,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",500,"[50, 50, 50, 40, 40, 50, 40, 40, 40, 50, 50]",0.03,"[0.6667, 0.8444, 0.9556, 1.0, 0.9348, 0.7333, 0.913, 0.8913, 1.0, 0.9556, 1.0]",0.987799,0.945119,0.3,ok
texture,50,0,smote,rf,71.1419,42,50,500,5000,11,0,"[5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5]","[45, 45, 45, 46, 46, 45, 46, 46, 46, 45, 45]",500,"[50, 50, 50, 40, 40, 50, 40, 40, 40, 50, 50]",0.03,"[0.5111, 0.5556, 0.6667, 0.9783, 0.9565, 0.5556, 0.3478, 0.6739, 0.8913, 0.6889, 1.0]",0.987799,0.945119,0.26,ok
