dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
biodeg,100,0,baseline,knn,80.1096,42,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.7915, 0.8107]",,,0.04,ok
biodeg,100,0,baseline,rf,80.9525,42,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8912, 0.7278]",,,0.11,ok
biodeg,100,0,baseline,tabpfn,80.9525,42,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8912, 0.7278]",,,1.98,ok
biodeg,100,0,smote,knn,79.3918,42,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.8127, 0.7751]",0.672212,0.532597,0.06,ok
biodeg,100,0,smote,rf,79.4669,42,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.8852, 0.7041]",0.672212,0.532597,0.21,ok
biodeg,100,0,smote,tabpfn,79.6055,42,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.8761, 0.716]",0.672212,0.532597,1.0,ok
biodeg,100,0,tabebm,knn,76.0811,42,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",42.21,"[0.7583, 0.7633]",0.0,0.199744,0.05,ok
biodeg,100,0,tabebm,rf,80.6441,42,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",42.21,"[0.8792, 0.7337]",0.0,0.199744,0.29,ok
biodeg,100,0,tabebm,tabpfn,79.1585,42,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",42.21,"[0.8731, 0.7101]",0.0,0.199744,0.35,ok
biodeg,100,1,baseline,knn,76.2947,43,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8218, 0.7041]",,,0.03,ok
biodeg,100,1,baseline,rf,71.5226,43,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.9275, 0.503]",,,0.11,ok
biodeg,100,1,baseline,tabpfn,79.7878,43,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.9094, 0.6864]",,,0.39,ok
biodeg,100,1,smote,knn,70.6546,43,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.8036, 0.6095]",0.73325,0.573718,0.06,ok
biodeg,100,1,smote,rf,70.6225,43,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.9154, 0.497]",0.73325,0.573718,0.2,ok
biodeg,100,1,smote,tabpfn,72.6372,43,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.04,"[0.861, 0.5917]",0.73325,0.573718,0.88,ok
biodeg,100,1,tabebm,knn,71.7692,43,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",38.04,"[0.7372, 0.6982]",6e-06,0.19772,0.05,ok
biodeg,100,1,tabebm,rf,81.1286,43,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",38.04,"[0.9184, 0.7041]",6e-06,0.19772,0.28,ok
biodeg,100,1,tabebm,tabpfn,73.4175,43,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",38.04,"[0.9003, 0.568]",6e-06,0.19772,0.22,ok
biodeg,100,2,baseline,knn,79.5116,44,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.7855, 0.8047]",,,0.01,ok
biodeg,100,2,baseline,rf,77.8178,44,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.864, 0.6923]",,,0.11,ok
biodeg,100,2,baseline,tabpfn,81.066,44,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.858, 0.7633]",,,0.9,ok
biodeg,100,2,smote,knn,77.6229,44,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.06,"[0.8187, 0.7337]",0.549941,0.521033,0.05,ok
biodeg,100,2,smote,rf,80.5368,44,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.06,"[0.9184, 0.6923]",0.549941,0.521033,0.15,ok
biodeg,100,2,smote,tabpfn,79.1773,44,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.06,"[0.8912, 0.6923]",0.549941,0.521033,0.95,ok
biodeg,100,2,tabebm,knn,78.3344,44,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.47,"[0.7915, 0.7751]",2e-06,0.189794,0.06,ok
biodeg,100,2,tabebm,rf,80.6441,44,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.47,"[0.8792, 0.7337]",2e-06,0.189794,0.3,ok
biodeg,100,2,tabebm,tabpfn,75.9354,44,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.47,"[0.9033, 0.6154]",2e-06,0.189794,0.8,ok
biodeg,100,3,baseline,knn,77.5103,45,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.71, 0.8402]",,,0.09,ok
biodeg,100,3,baseline,rf,80.6504,45,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8852, 0.7278]",,,0.11,ok
biodeg,100,3,baseline,tabpfn,79.5366,45,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8097, 0.7811]",,,0.89,ok
biodeg,100,3,smote,knn,71.4922,45,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.7553, 0.6746]",0.549941,0.53818,0.14,ok
biodeg,100,3,smote,rf,80.6504,45,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.8852, 0.7278]",0.549941,0.53818,0.15,ok
biodeg,100,3,smote,tabpfn,77.9438,45,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.8429, 0.716]",0.549941,0.53818,0.11,ok
biodeg,100,3,tabebm,knn,74.5517,45,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",37.22,"[0.71, 0.7811]",1e-06,0.216543,0.06,ok
biodeg,100,3,tabebm,rf,80.3107,45,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",37.22,"[0.8429, 0.7633]",1e-06,0.216543,0.3,ok
biodeg,100,3,tabebm,tabpfn,73.5185,45,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",37.22,"[0.855, 0.6154]",1e-06,0.216543,1.02,ok
biodeg,100,4,baseline,knn,80.4743,46,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.858, 0.7515]",,,0.08,ok
biodeg,100,4,baseline,rf,75.627,46,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8912, 0.6213]",,,0.11,ok
biodeg,100,4,baseline,tabpfn,75.4822,46,100,500,555,"[66, 34]","[331, 169]",0,"[0, 0]",0.0,"[0.8943, 0.6154]",,,0.93,ok
biodeg,100,4,smote,knn,76.5843,46,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.8157, 0.716]",0.409651,0.498506,0.16,ok
biodeg,100,4,smote,rf,72.8132,46,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.8882, 0.568]",0.409651,0.498506,0.15,ok
biodeg,100,4,smote,tabpfn,77.648,46,100,500,555,"[66, 34]","[331, 169]",500,"[330, 170]",0.11,"[0.8429, 0.7101]",0.409651,0.498506,0.93,ok
biodeg,100,4,tabebm,knn,78.1646,46,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.61,"[0.7704, 0.7929]",1e-06,0.178987,0.08,ok
biodeg,100,4,tabebm,rf,73.6883,46,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.61,"[0.8761, 0.5976]",1e-06,0.178987,0.29,ok
biodeg,100,4,tabebm,tabpfn,75.4822,46,100,500,555,"[66, 34]","[331, 169]",500,"[250, 250]",36.61,"[0.8943, 0.6154]",1e-06,0.178987,0.17,ok
