dataset,n_real,split,method,classifier,balanced_accuracy,split_seed,n_train,n_test,n_pool,train_class_counts,test_class_counts,n_syn_generated,syn_class_counts,aug_time_sec,per_class_recall,ks_median_pvalue,ks_mean_pvalue,eval_time_sec,status
stock,100,0,baseline,knn,84.6897,42,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.7143, 0.9795]",,,0.02,ok
stock,100,0,baseline,rf,91.9594,42,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9048, 0.9344]",,,0.11,ok
stock,100,0,baseline,tabpfn,90.7645,42,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9177, 0.8975]",,,1.96,ok
stock,100,0,smote,knn,90.6492,42,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.8745, 0.9385]",0.987788,0.938582,0.02,ok
stock,100,0,smote,rf,89.8437,42,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9567, 0.8402]",0.987788,0.938582,0.17,ok
stock,100,0,smote,tabpfn,88.3631,42,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9394, 0.8279]",0.987788,0.938582,1.07,ok
stock,100,0,tabebm,knn,91.0244,42,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",43.31,"[0.8615, 0.959]",0.948087,0.912443,0.02,ok
stock,100,0,tabebm,rf,90.4097,42,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",43.31,"[0.8615, 0.9467]",0.948087,0.912443,0.19,ok
stock,100,0,tabebm,tabpfn,91.0936,42,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",43.31,"[0.8874, 0.9344]",0.948087,0.912443,0.87,ok
stock,100,1,baseline,knn,91.6161,43,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8528, 0.9795]",,,0.02,ok
stock,100,1,baseline,rf,93.6449,43,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9221, 0.9508]",,,0.11,ok
stock,100,1,baseline,tabpfn,93.0301,43,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9221, 0.9385]",,,0.94,ok
stock,100,1,smote,knn,93.2235,43,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9177, 0.9467]",0.893277,0.876142,0.02,ok
stock,100,1,smote,rf,93.6679,43,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9307, 0.9426]",0.893277,0.876142,0.17,ok
stock,100,1,smote,tabpfn,94.4991,43,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9351, 0.9549]",0.893277,0.876142,0.69,ok
stock,100,1,tabebm,knn,91.1167,43,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.83,"[0.8961, 0.9262]",0.981208,0.917135,0.02,ok
stock,100,1,tabebm,rf,92.3923,43,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.83,"[0.9134, 0.9344]",0.981208,0.917135,0.18,ok
stock,100,1,tabebm,tabpfn,92.2451,43,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.83,"[0.9351, 0.9098]",0.981208,0.917135,0.94,ok
stock,100,2,baseline,knn,87.6881,44,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8398, 0.9139]",,,0.01,ok
stock,100,2,baseline,rf,95.5583,44,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9481, 0.9631]",,,0.08,ok
stock,100,2,baseline,tabpfn,96.4241,44,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9654, 0.9631]",,,0.89,ok
stock,100,2,smote,knn,93.6795,44,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9351, 0.9385]",0.972517,0.936313,0.02,ok
stock,100,2,smote,rf,95.0128,44,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.974, 0.9262]",0.972517,0.936313,0.16,ok
stock,100,2,smote,tabpfn,96.2308,44,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9697, 0.9549]",0.972517,0.936313,0.85,ok
stock,100,2,tabebm,knn,94.1354,44,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.27,"[0.9524, 0.9303]",0.932195,0.884369,0.02,ok
stock,100,2,tabebm,rf,94.9551,44,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.27,"[0.9524, 0.9467]",0.932195,0.884369,0.17,ok
stock,100,2,tabebm,tabpfn,95.8094,44,100,475,475,"[49, 51]","[231, 244]",500,"[250, 250]",36.27,"[0.9654, 0.9508]",0.932195,0.884369,0.88,ok
stock,100,3,baseline,knn,91.1947,45,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.8485, 0.9754]",,,0.01,ok
stock,100,3,baseline,rf,94.4876,45,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9307, 0.959]",,,0.08,ok
stock,100,3,baseline,tabpfn,93.463,45,100,475,475,"[49, 51]","[231, 244]",0,"[0, 0]",0.0,"[0.9307, 0.9385]",,,0.85,ok
stock,100,3,smote,knn,93.8959,45,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9394, 0.9385]",0.762977,0.728129,0.03,ok
stock,100,3,smote,rf,92.6318,45,100,475,475,"[49, 51]","[231, 244]",500,"[245, 255]",0.0,"[0.9264, 0.9262]",0.762977,0.728129,0.13,ok
